Date,Open,High,Low,Close
1999-12-31,51.0,52.0,51.0,52.0
2000-01-03,52.0,54.0,52.0,54.0
2000-01-04,52.0,52.0,49.0,50.0
2000-01-05,49.0,49.0,47.0,49.0
2000-01-06,50.0,52.0,48.0,48.0
2000-01-07,50.0,52.0,49.0,51.0
2000-01-10,52.0,54.0,51.0,53.0
2000-01-11,53.0,68.0,53.0,66.0
2000-01-12,68.0,68.0,61.0,61.25
2000-01-13,57.0,66.0,56.0,65.0
2000-01-14,65.0,67.0,62.0,62.0
2000-01-18,63.0,64.0,60.0,60.0
2000-01-19,62.0,62.0,47.0,51.0
2000-01-20,50.0,51.0,48.0,51.0
2000-01-21,51.0,58.0,50.0,56.0
2000-01-24,58.0,60.0,56.0,58.0
2000-01-25,58.0,59.0,57.0,59.0
2000-01-26,59.0,59.0,57.0,57.0
2000-01-27,58.0,59.0,56.0,56.0
2000-01-28,54.0,56.0,53.0,53.0
2000-01-31,53.0,55.0,52.0,55.0
2000-02-01,53.0,57.0,53.0,56.0
2000-02-02,57.0,60.0,57.0,60.0
2000-02-03,64.0,70.0,64.0,69.0
2000-02-04,71.0,71.0,66.0,66.0
2000-02-07,67.0,68.0,67.0,68.0
2000-02-08,68.0,89.0,68.0,89.0
2000-02-09,89.0,90.0,80.0,85.0
2000-02-10,87.0,87.0,78.0,80.0
2000-02-11,88.0,92.0,84.0,86.0
2000-02-14,90.0,123.0,88.0,122.0
2000-02-15,135.0,144.0,117.0,144.0
2000-02-16,151.0,159.0,134.0,147.0
2000-02-17,168.0,168.0,154.0,163.0
2000-02-18,163.0,163.0,132.0,142.0
2000-02-22,142.0,142.0,114.0,121.0
2000-02-23,120.0,123.0,106.0,112.0
2000-02-24,111.0,111.0,96.0,100.0
2000-02-25,100.0,119.0,93.0,116.0
2000-02-28,120.0,122.0,114.0,116.0
2000-02-29,116.0,122.0,112.0,118.0
2000-03-01,120.0,152.0,116.0,143.0
2000-03-02,151.0,155.0,137.0,148.0
2000-03-03,151.0,192.0,150.0,191.0
2000-03-06,192.0,196.0,168.0,175.0
2000-03-07,175.0,176.0,156.0,158.0
2000-03-08,159.0,159.0,140.0,144.0
2000-03-09,145.0,155.0,140.0,144.0
2000-03-10,147.0,160.0,144.0,148.0
2000-03-13,144.0,145.0,126.0,129.0
2000-03-14,133.0,139.0,119.0,119.0
2000-03-15,118.0,122.0,105.0,113.0
2000-03-16,113.0,119.0,107.0,114.0
2000-03-17,119.0,124.0,110.0,112.0
2000-03-20,112.0,115.0,96.0,100.0
2000-03-21,96.0,105.0,83.0,88.0
2000-03-22,91.0,116.0,91.0,113.0
2000-03-23,115.0,116.0,106.0,110.0
2000-03-24,114.0,114.0,105.0,107.0
2000-03-27,106.0,106.0,96.0,99.0
2000-03-28,98.0,101.0,98.0,98.0
2000-03-29,102.0,102.0,97.0,99.0
2000-03-30,96.0,96.0,86.0,93.0
2000-03-31,94.0,102.0,90.0,98.0
2000-04-03,100.0,100.0,96.0,96.0
2000-04-04,99.0,100.0,85.0,88.0
2000-04-05,83.0,95.0,81.0,84.0
2000-04-06,90.0,110.0,89.0,99.0
2000-04-07,100.0,106.0,93.0,93.0
2000-04-10,92.0,98.0,87.0,88.0
2000-04-11,88.0,92.0,87.0,87.0
2000-04-12,87.0,90.0,78.0,78.0
2000-04-13,82.0,83.0,74.0,75.0
2000-04-14,74.0,74.0,66.0,67.0
2000-04-17,64.0,72.0,53.0,56.0
2000-04-18,58.0,68.0,58.0,65.0
2000-04-19,71.0,74.0,66.0,66.0
2000-04-20,68.0,78.0,67.0,67.0
2000-04-24,69.0,70.0,65.0,65.0
2000-04-25,71.0,71.0,68.0,70.0
2000-04-26,70.0,71.0,67.0,67.0
2000-04-27,68.0,73.0,67.0,72.0
2000-04-28,74.0,76.0,69.0,72.0
2000-05-01,73.0,82.0,73.0,82.0
2000-05-02,80.0,86.0,80.0,81.0
2000-05-03,78.0,80.0,73.0,75.0
2000-05-04,72.0,72.0,66.0,68.0
2000-05-05,66.0,72.0,66.0,67.0
2000-05-08,66.0,66.0,63.0,64.0
2000-05-09,64.0,65.0,62.0,62.0
2000-05-10,64.0,64.0,60.0,62.0
2000-05-11,61.0,62.0,60.0,62.0
2000-05-12,60.0,70.0,60.0,66.0
2000-05-15,67.0,68.0,62.0,64.0
2000-05-16,64.0,69.0,64.0,69.0
