Date,Open,High,Low,Close
1999-12-31,2.0625,2.28125,2.0625,2.28125
2000-01-03,2.125,2.1875,2.0625,2.1875
2000-01-04,2.125,2.125,2.125,2.125
2000-01-05,2.09375,2.5,2.09375,2.5
2000-01-06,2.5,2.5625,2.375,2.5625
2000-01-07,2.53125,2.625,2.25,2.59375
2000-01-10,2.625,2.8125,2.5,2.8125
2000-01-11,2.75,2.875,2.625,2.75
2000-01-12,2.8125,3.125,2.8125,2.96875
2000-01-13,2.9375,3.125,2.9375,3.125
2000-01-14,3.375,3.375,3.25,3.375
2000-01-18,3.40625,3.40625,3.3125,3.375
2000-01-19,3.359375,3.375,2.875,2.9375
2000-01-20,2.90625,3.0,2.8125,2.9375
2000-01-21,2.8125,3.0,2.8125,2.9375
2000-01-24,3.0,3.125,2.875,3.0
2000-01-25,2.8125,3.0625,2.8125,2.9375
2000-01-26,2.9375,2.96875,2.875,2.875
2000-01-27,2.828125,2.9375,2.828125,2.875
2000-01-28,2.875,3.0,2.875,3.0
2000-01-31,2.875,3.0,2.875,3.0
2000-02-01,2.90625,3.0,2.84375,3.0
2000-02-02,3.0,3.03125,2.8125,3.03125
2000-02-03,2.9375,3.0,2.875,2.875
2000-02-04,2.875,2.9375,2.875,2.9375
2000-02-07,3.0,3.0,2.8125,2.8125
2000-02-08,2.8125,3.0,2.75,2.90625
2000-02-09,2.875,2.875,2.75,2.875
2000-02-10,2.78125,2.78125,2.71875,2.75
2000-02-11,2.6875,2.6875,2.6875,2.6875
2000-02-14,2.65625,2.65625,2.5,2.625
2000-02-15,2.53125,2.625,2.53125,2.59375
2000-02-16,2.53125,2.5625,2.5,2.539062976837158
2000-02-17,2.5625,2.59375,2.53125,2.59375
2000-02-18,2.578125,2.59375,2.5625,2.578125
2000-02-22,2.53125,2.625,2.53125,2.59375
2000-02-23,2.53125,2.59375,2.53125,2.59375
2000-02-24,2.53125,2.53125,2.4375,2.5
2000-02-25,2.5,2.5,2.375,2.5
2000-02-28,2.46875,2.5,2.375,2.5
2000-02-29,2.40625,2.5625,2.40625,2.5
2000-03-01,2.40625,2.5,2.375,2.46875
2000-03-02,2.5625,2.5625,2.40625,2.4375
2000-03-03,2.5,2.5,2.40625,2.40625
2000-03-06,2.4375,2.5,2.4375,2.5
2000-03-07,2.5625,2.5625,2.4375,2.53125
2000-03-08,2.59375,2.59375,2.46875,2.53125
2000-03-09,2.59375,2.59375,2.46875,2.59375
2000-03-10,2.578125,2.59375,2.53125,2.59375
2000-03-13,2.5625,2.59375,2.5625,2.5625
2000-03-14,2.59375,2.6875,2.585937976837158,2.6875
2000-03-15,2.59375,2.6875,2.59375,2.65625
2000-03-16,2.65625,2.65625,2.375,2.375
2000-03-17,2.5625,2.5625,2.5,2.5
2000-03-20,2.5625,2.59375,2.5625,2.59375
2000-03-21,2.5,2.59375,2.4375,2.59375
2000-03-22,2.59375,2.59375,2.5,2.59375
2000-03-23,2.4375,2.625,2.4375,2.625
2000-03-24,2.625,2.625,2.625,2.625
2000-03-27,2.625,2.625,2.59375,2.625
2000-03-28,2.625,2.75,2.5625,2.75
2000-03-29,2.625,2.75,2.5,2.75
2000-03-30,2.5625,2.75,2.5,2.625
2000-03-31,2.6875,2.75,2.6875,2.71875
2000-04-03,2.59375,2.71875,2.59375,2.71875
2000-04-04,2.59375,2.6875,2.46875,2.6875
2000-04-05,2.46875,2.625,2.375,2.625
2000-04-06,2.4375,2.6875,2.4375,2.6875
2000-04-07,2.6875,2.6875,2.6875,2.6875
2000-04-10,2.4375,2.53125,2.4375,2.46875
2000-04-11,2.4375,2.5,2.4375,2.5
2000-04-12,2.515625,2.53125,2.5,2.5
2000-04-13,2.484375,2.5625,2.4375,2.4375
2000-04-14,2.4375,2.4375,2.3125,2.375
2000-04-17,2.28125,2.6875,2.28125,2.6875
2000-04-18,2.390625,2.6875,2.375,2.5
2000-04-19,2.4375,2.5,2.4375,2.5
2000-04-20,2.5,2.5,2.40625,2.5
2000-04-24,2.46875,2.46875,2.46875,2.46875
2000-04-25,2.453125,2.46875,2.40625,2.46875
2000-04-26,2.4375,2.4375,2.40625,2.40625
2000-04-27,2.375,2.46875,2.375,2.4375
2000-04-28,2.40625,2.46875,2.40625,2.453125
2000-05-01,2.5,2.5,2.5,2.5
2000-05-02,2.4375,2.5,2.40625,2.4375
2000-05-03,2.46875,2.5,2.4375,2.4375
2000-05-04,2.40625,2.4375,2.34375,2.375
2000-05-05,2.40625,2.40625,2.375,2.375
2000-05-08,2.375,2.40625,2.3125,2.3125
2000-05-09,2.34375,2.34375,2.25,2.25
2000-05-10,2.3125,2.3125,2.125,2.1875
2000-05-11,2.15625,2.296875,2.15625,2.296875
2000-05-12,2.3125,2.5625,2.28125,2.53125
2000-05-15,2.4375,2.5,2.375,2.5
2000-05-16,2.5,2.5,2.5,2.5
2000-05-17,2.515625,2.515625,2.40625,2.5
2000-05-18,2.5,2.5,2.40625,2.5
2000-05-19,2.5,2.5,2.5,2.5
2000-05-22,2.5,2.5,2.375,2.5
2000-05-23,2.375,2.5,2.375,2.5
2000-05-24,2.375,2.5,2.375,2.5
2000-05-25,2.375,2.5,2.375,2.5
2000-05-26,2.4375,2.5,2.3125,2.5
2000-05-30,2.5,2.5,2.5,2.5
2000-05-31,2.3125,2.3125,2.3125,2.3125
2000-06-01,2.375,2.4375,2.375,2.4375
2000-06-02,2.4375,2.46875,2.4375,2.46875
2000-06-05,2.375,2.375,2.375,2.375
2000-06-06,2.375,2.375,2.375,2.375
2000-06-07,2.375,2.46875,2.375,2.40625
2000-06-08,2.46875,2.46875,2.40625,2.46875
2000-06-09,2.46875,2.5,2.375,2.5
2000-06-12,2.5,2.5,2.375,2.46875
2000-06-13,2.4375,2.5,2.4375,2.5
2000-06-14,2.5,2.5,2.5,2.5
2000-06-15,2.5,2.5,2.5,2.5
2000-06-16,2.5,2.5,2.5,2.5
2000-06-19,2.4375,2.4375,2.4375,2.4375
2000-06-20,2.4375,2.5,2.4375,2.4375
2000-06-21,2.4375,2.46875,2.25,2.46875
2000-06-22,2.375,2.46875,2.375,2.46875
2000-06-23,2.375,2.4375,2.3125,2.4375
2000-06-26,2.3125,2.4375,2.3125,2.4375
2000-06-27,2.3125,2.34375,2.3125,2.34375
2000-06-28,2.375,2.46875,2.375,2.46875
2000-06-29,2.375,2.4375,2.34375,2.375
2000-06-30,2.375,2.375,2.3125,2.3125
2000-07-03,2.375,2.375,2.375,2.375
2000-07-05,2.375,2.375,2.3125,2.375
2000-07-06,2.375,2.375,2.375,2.375
2000-07-07,2.375,2.5,2.375,2.5
2000-07-10,2.40625,2.40625,2.40625,2.40625
2000-07-11,2.40625,2.40625,2.40625,2.40625
2000-07-12,2.453125,2.453125,2.375,2.375
2000-07-13,2.46875,2.5,2.375,2.5
2000-07-14,2.46875,2.46875,2.46875,2.46875
2000-07-17,2.421875,2.46875,2.359375,2.359375
2000-07-18,2.359375,2.359375,2.359375,2.359375
2000-07-19,2.375,2.4375,2.375,2.40625
2000-07-20,2.40625,2.40625,2.375,2.375
2000-07-21,2.34375,2.40625,2.34375,2.40625
2000-07-24,2.34375,2.40625,2.34375,2.40625
2000-07-25,2.375,2.40625,2.34375,2.375
2000-07-26,2.34375,2.34375,2.34375,2.34375
2000-07-27,2.40625,2.46875,2.40625,2.4375
2000-07-28,2.296875,2.46875,2.28125,2.46875
2000-07-31,2.3125,2.4375,2.25,2.4375
2000-08-01,2.46875,2.46875,2.3125,2.3125
2000-08-02,2.28125,2.40625,2.28125,2.40625
2000-08-03,2.3125,2.3125,2.3125,2.3125
2000-08-04,2.28125,2.4375,2.28125,2.4375
2000-08-07,2.3125,2.4375,2.3125,2.40625
2000-08-08,2.40625,2.46875,2.40625,2.46875
2000-08-09,2.4375,2.53125,2.40625,2.53125
2000-08-10,2.4375,2.46875,2.3125,2.46875
2000-08-11,2.46875,2.46875,2.375,2.46875
2000-08-14,2.375,2.4375,2.34375,2.4375
2000-08-15,2.34375,2.40625,2.25,2.40625
2000-08-16,2.375,2.40625,2.375,2.40625
2000-08-17,2.4375,2.4375,2.3125,2.375
2000-08-18,2.4375,2.4375,2.3125,2.3125
2000-08-21,2.34375,2.46875,2.34375,2.4375
2000-08-22,2.34375,2.4375,2.3125,2.4375
2000-08-23,2.375,2.4375,2.34375,2.4375
2000-08-24,2.40625,2.40625,2.34375,2.40625
2000-08-25,2.40625,2.40625,2.375,2.375
2000-08-28,2.375,2.375,2.375,2.375
2000-08-29,2.40625,2.46875,2.40625,2.46875
2000-08-30,2.375,2.375,2.375,2.375
2000-08-31,2.375,2.4375,2.375,2.4375
2000-09-01,2.375,2.4375,2.375,2.4375
2000-09-05,2.4375,2.4375,2.4375,2.4375
2000-09-06,2.375,2.375,2.3125,2.3125
2000-09-07,2.28125,2.375,2.28125,2.375
2000-09-08,2.3125,2.4375,2.3125,2.4375
2000-09-11,2.34375,2.4375,2.34375,2.4375
2000-09-12,2.4375,2.4375,2.4375,2.4375
2000-09-13,2.375,2.46875,2.25,2.375
2000-09-14,2.4375,2.625,2.4375,2.5
2000-09-15,2.53125,2.53125,2.46875,2.484375
2000-09-18,2.5,2.5,2.375,2.375
2000-09-19,2.4375,2.4375,2.3125,2.34375
2000-09-20,2.375,2.375,2.375,2.375
2000-09-21,2.3125,2.375,2.3125,2.375
2000-09-22,2.28125,2.375,2.28125,2.375
2000-09-25,2.25,2.25,2.25,2.25
2000-09-26,2.375,2.5,2.375,2.5
2000-09-27,2.3125,2.3125,2.3125,2.3125
2000-09-28,2.28125,2.34375,2.28125,2.34375
2000-09-29,2.4375,2.46875,2.4375,2.46875
2000-10-02,2.4375,2.4375,2.4375,2.4375
2000-10-03,2.4375,2.5,2.4375,2.5
2000-10-04,2.28125,2.375,2.25,2.3125
2000-10-05,2.375,2.375,2.0,2.1875
2000-10-06,2.179687976837158,2.1875,1.875,2.125
2000-10-09,2.03125,2.25,2.03125,2.03125
2000-10-10,2.03125,2.25,2.03125,2.125
2000-10-11,2.03125,2.09375,2.0,2.09375
2000-10-12,2.007812976837158,2.125,1.96875,2.09375
2000-10-13,2.09375,2.125,2.03125,2.03125
2000-10-16,1.9375,2.125,1.9375,2.125
2000-10-17,1.96875,2.0,1.9375,1.96875
2000-10-18,1.9453129768371582,2.125,1.9453129768371582,2.125
2000-10-19,2.375,2.5,2.3125,2.4375
2000-10-20,2.46875,2.8125,2.46875,2.5625
2000-10-23,2.5625,2.5625,2.53125,2.5625
2000-10-24,2.5625,2.625,2.25,2.484375
2000-10-25,2.5,2.5625,2.5,2.5
2000-10-26,2.5625,2.5625,2.5,2.5
2000-10-27,2.53125,2.53125,2.3125,2.4375
2000-10-30,2.4375,2.5,2.4375,2.5
2000-10-31,2.46875,2.5,2.46875,2.5
2000-11-01,2.5,2.5625,2.5,2.5
2000-11-02,2.53125,2.65625,2.5,2.625
2000-11-03,2.65625,2.78125,2.65625,2.75
2000-11-06,2.6875,2.75,2.6875,2.75
2000-11-07,2.6875,2.6875,2.6875,2.6875
2000-11-08,2.625,2.71875,2.625,2.71875
2000-11-09,2.703125,2.703125,2.65625,2.65625
2000-11-10,2.65625,2.6875,2.65625,2.6875
2000-11-13,2.671875,2.671875,2.5,2.625
2000-11-14,2.6875,2.6875,2.6875,2.6875
2000-11-15,2.625,2.625,2.625,2.625
2000-11-16,2.5625,2.6875,2.5625,2.6875
2000-11-17,2.6875,2.75,2.625,2.742187976837158
2000-11-20,2.742187976837158,2.742187976837158,2.625,2.6875
2000-11-21,2.5625,2.65625,2.5,2.65625
2000-11-22,2.65625,2.71875,2.625,2.71875
2000-11-24,2.71875,2.71875,2.65625,2.65625
2000-11-27,2.5625,2.65625,2.5,2.65625
2000-11-28,2.6875,2.71875,2.65625,2.71875
2000-11-29,2.71875,2.8125,2.625,2.78125
2000-11-30,2.625,2.875,2.625,2.8125
2000-12-01,2.8125,2.875,2.75,2.8125
2000-12-04,2.6875,3.0,2.6875,3.0
2000-12-05,2.75,3.09375,2.75,3.0625
2000-12-06,3.0625,3.25,2.875,3.21875
2000-12-07,3.164062976837158,3.375,2.9375,3.375
2000-12-08,3.375,3.375,3.09375,3.09375
2000-12-11,3.0625,3.25,3.0,3.203125
2000-12-12,3.21875,3.21875,3.0,3.0
2000-12-13,2.96875,3.0625,2.96875,3.03125
2000-12-14,3.03125,3.03125,3.03125,3.03125
2000-12-15,2.90625,3.0625,2.90625,3.0625
2000-12-18,2.9375,3.03125,2.9375,3.0
2000-12-19,3.0,3.0,2.90625,2.90625
2000-12-20,2.90625,3.0,2.875,2.875
2000-12-21,2.8125,2.96875,2.75,2.96875
2000-12-22,2.96875,2.96875,2.75,2.9375
2000-12-26,2.875,2.875,2.8125,2.8125
2000-12-27,2.875,2.96875,2.875,2.96875
2000-12-28,2.9375,2.96875,2.9375,2.96875
2000-12-29,2.96875,2.96875,2.75,2.96875
2001-01-02,2.96875,2.96875,2.8125,2.8125
2001-01-03,2.8125,2.96875,2.8125,2.96875
2001-01-04,2.8125,3.0625,2.8125,3.0625
2001-01-05,3.09375,3.234375,2.875,3.0
2001-01-08,3.0,3.21875,2.875,3.21875
2001-01-09,3.21875,3.21875,3.03125,3.03125
2001-01-10,2.65625,2.84375,2.5625,2.8125
2001-01-11,2.953125,2.96875,2.78125,2.875
2001-01-12,3.0,3.0,2.851562976837158,2.9375
2001-01-16,2.984375,3.125,2.984375,3.09375
2001-01-17,3.0625,3.09375,3.0625,3.0625
2001-01-18,3.0625,3.09375,3.03125,3.09375
2001-01-19,3.09375,3.125,3.0625,3.0625
2001-01-22,3.0,3.0625,2.9375,2.9375
2001-01-23,2.9375,3.125,2.9375,2.96875
2001-01-24,3.078125,3.078125,3.0,3.0
2001-01-25,3.125,3.125,3.03125,3.03125
2001-01-26,3.0,3.0,2.78125,2.9375
2001-01-29,2.929687976837158,2.929687976837158,2.59375,2.6875
2001-01-30,2.78125,2.9375,2.75,2.875
2001-01-31,3.0,3.03125,2.6875,2.875
2001-02-01,2.9375,3.0625,2.9375,2.9375
2001-02-02,2.9375,3.0,2.875,2.921875
2001-02-05,2.875,2.9375,2.875,2.9375
2001-02-06,3.0,3.03125,3.0,3.03125
2001-02-07,3.03125,3.09375,3.0,3.03125
2001-02-08,3.0625,3.0625,3.0,3.0
2001-02-09,3.0,3.0,3.0,3.0
2001-02-12,2.875,2.9375,2.75,2.8125
2001-02-13,2.8125,2.9375,2.8125,2.875
2001-02-14,2.882812976837158,2.9375,2.875,2.875
2001-02-15,2.882812976837158,2.9375,2.875,2.90625
2001-02-16,2.929687976837158,2.929687976837158,2.75,2.75
2001-02-20,2.757812976837158,2.875,2.65625,2.65625
2001-02-21,2.625,2.84375,2.625,2.71875
2001-02-22,2.6875,2.71875,2.5625,2.5625
