Date,Open,High,Low,Close
2000-05-02,24.875,25.0625,22.375,24.0
2000-05-03,23.6875,23.75,21.3125,22.5
2000-05-04,23.5625,23.625,20.5,21.125
2000-05-05,20.75,22.0,20.5,20.875
2000-05-08,20.4375,21.0625,20.0625,20.25
2000-05-09,20.625,21.125,19.75,20.1875
2000-05-10,20.375,20.4375,17.8125,19.375
2000-05-11,19.875,20.25,19.5,20.0
2000-05-12,20.625,23.0,20.125,21.375
2000-05-15,21.6875,22.25,20.1875,21.6875
2000-05-16,21.8125,22.5625,21.375,22.25
2000-05-17,21.625,22.75,21.375,21.875
2000-05-18,21.875,24.3125,21.8125,24.0
2000-05-19,23.25,24.5,21.5,22.75
2000-05-22,23.125,23.125,19.75,20.0
2000-05-23,20.875,21.25,19.625,19.875
2000-05-24,19.9375,20.25,19.125,19.5
2000-05-25,19.75,20.3125,18.0,18.1875
2000-05-26,18.1875,18.75,17.875,18.0
2000-05-30,18.0,20.625,18.0,20.0
2000-05-31,20.6875,20.875,19.125,19.3125
2000-06-01,19.59375,20.75,19.5625,20.125
2000-06-02,20.6875,23.25,20.3125,23.0
2000-06-05,22.75,23.0,21.0625,22.875
2000-06-06,22.75,24.625,22.125,23.125
2000-06-07,23.1875,23.5,21.875,22.25
2000-06-08,22.25,23.75,22.0,22.625
2000-06-09,22.8125,23.875,22.625,23.25
2000-06-12,23.75,24.25,23.625,24.0625
2000-06-13,23.5625,24.0,21.875,23.4375
2000-06-14,23.15625,23.3125,22.875,22.9375
2000-06-15,22.625,23.25,21.75,23.0
2000-06-16,22.96875,23.0,20.8125,21.0625
2000-06-19,21.5625,22.125,20.5,21.25
2000-06-20,21.375,22.5,21.3125,21.875
2000-06-21,21.875,23.375,21.75,22.6875
2000-06-22,24.625,24.75,22.25,22.5
2000-06-23,22.8125,26.5,21.0,23.625
2000-06-26,23.875,26.8125,23.0,23.625
2000-06-27,23.625,23.75,22.375,22.9375
2000-06-28,23.0,24.0,22.5,23.4375
2000-06-29,23.125,23.9375,22.5,23.0625
2000-06-30,22.375,24.375,21.75,21.875
2000-07-03,22.875,23.125,22.0,22.75
2000-07-05,22.4375,22.5,20.75,21.5625
2000-07-06,21.5625,22.0,20.0,21.8125
2000-07-07,21.875,22.75,21.375,21.8125
2000-07-10,21.75,24.6875,21.5,21.75
2000-07-11,21.625,23.25,21.0,22.0
2000-07-12,22.0625,22.0625,21.5,21.9375
2000-07-13,21.875,22.125,19.75,20.5
2000-07-14,22.1875,22.1875,20.25,21.5625
2000-07-17,22.0,22.375,21.6875,22.0
2000-07-18,22.0,22.0625,21.6875,21.9375
2000-07-19,21.875,21.875,20.125,20.25
2000-07-20,20.9375,21.75,20.25,21.0
2000-07-21,21.6875,22.0,19.75,20.5
2000-07-24,20.375,21.125,20.125,20.75
2000-07-25,20.6875,21.1875,20.484375,21.125
2000-07-26,20.5,21.1875,20.25,21.1875
2000-07-27,21.0625,21.15625,20.0,20.0
2000-07-28,20.0,20.25,19.375,20.0
2000-07-31,20.0,22.25,20.0,22.125
2000-08-01,21.75,21.875,21.0,21.625
2000-08-02,21.25,22.0,21.0,21.75
2000-08-03,20.8125,20.875,20.125,20.4375
2000-08-04,20.75,21.25,20.25,20.75
2000-08-07,20.75,21.125,20.75,20.875
2000-08-08,20.75,20.875,20.5,20.6875
2000-08-09,20.6875,20.75,19.625,20.0
2000-08-10,20.21875,20.3125,16.5,17.25
2000-08-11,17.25,17.5,16.25,17.25
2000-08-14,17.28125,17.625,16.875,17.0
2000-08-15,17.5625,18.5,17.25,17.25
2000-08-16,17.5,17.625,16.8125,17.125
2000-08-17,16.9375,17.25,16.375,16.875
2000-08-18,17.0,17.625,16.875,17.0
2000-08-21,17.1875,17.25,16.25,16.25
2000-08-22,16.25,17.25,16.25,16.75
2000-08-23,16.75,17.375,16.5,17.0
2000-08-24,16.875,17.9375,16.875,17.4375
2000-08-25,17.3125,17.9375,17.1875,17.6875
2000-08-28,17.5,17.9375,17.4375,17.625
2000-08-29,17.5625,17.625,17.125,17.25
2000-08-30,17.125,17.375,16.6875,17.375
2000-08-31,17.375,17.5,16.875,17.0
2000-09-01,17.25,17.5,16.875,17.5
2000-09-05,17.5,17.625,17.1875,17.375
2000-09-06,17.125,17.3125,16.875,16.9375
2000-09-07,16.875,17.1875,15.5,16.25
2000-09-08,16.0625,16.125,15.5,15.5
2000-09-11,15.75,16.5,15.75,16.5
2000-09-12,16.5,17.0,16.5,16.625
2000-09-13,16.125,17.125,16.0625,16.6875
2000-09-14,17.0,17.03125,15.75,15.875
2000-09-15,15.875,16.125,14.875,14.875
2000-09-18,14.875,15.0,11.375,12.0
2000-09-19,12.59375,13.125,12.125,13.0625
2000-09-20,13.125,13.6875,12.75,13.3125
2000-09-21,13.4375,13.75,12.5625,12.8125
2000-09-22,12.1875,12.6875,11.625,12.25
2000-09-25,12.6875,13.125,12.3125,12.75
2000-09-26,12.65625,12.875,11.375,11.5625
2000-09-27,11.75,12.25,10.75,10.75
2000-09-28,10.8125,11.25,10.125,10.375
2000-09-29,10.5625,11.0,10.375,10.875
2000-10-02,11.0,11.375,10.625,11.0
2000-10-03,11.3125,12.9375,10.875,11.875
2000-10-04,11.875,12.5,11.375,12.125
2000-10-05,12.1875,12.5,11.75,12.0625
2000-10-06,12.125,12.125,11.5,11.6875
2000-10-09,11.625,12.125,11.1875,12.0
2000-10-10,11.75,12.0,10.625,10.8125
2000-10-11,10.5625,10.6875,10.1875,10.4375
2000-10-12,10.875,11.234375,10.375,10.875
2000-10-13,10.9375,11.875,10.75,11.625
2000-10-16,11.75,12.0625,10.5,11.0
2000-10-17,11.5,11.5,9.625,9.9375
2000-10-18,10.0,10.75,9.8125,10.125
2000-10-19,10.5625,10.75,10.125,10.5
2000-10-20,10.5625,11.125,10.5625,10.9375
2000-10-23,11.0625,11.0625,10.1875,10.625
2000-10-24,10.75,10.9375,9.75,10.0625
2000-10-25,9.96875,10.0,9.1875,9.65625
2000-10-26,9.625,10.1875,9.21875,10.125
2000-10-27,10.1875,10.1875,9.4375,9.5
2000-10-30,9.5625,10.0,9.5,10.0
2000-10-31,10.0625,10.125,9.875,10.0625
2000-11-01,9.9375,10.125,9.875,10.0625
2000-11-02,10.1875,10.375,9.8125,10.125
2000-11-03,10.0,10.75,9.875,10.625
2000-11-06,10.75,10.75,9.8125,9.875
2000-11-07,9.8125,10.34375,9.5,9.6875
2000-11-08,9.75,9.75,8.875,9.03125
2000-11-09,9.0,9.109375,8.375,8.5
2000-11-10,8.5625,8.625,7.6875,7.8125
2000-11-13,7.84375,8.375,7.625,8.0625
2000-11-14,8.5625,8.875,8.15625,8.1875
2000-11-15,8.4375,9.125,8.0,8.0625
2000-11-16,8.34375,8.625,8.0,8.1875
2000-11-17,8.21875,9.0625,8.03125,9.0625
2000-11-20,9.046875,9.125,8.25,8.34375
2000-11-21,8.328125,8.34375,7.6875,7.875
2000-11-22,7.71875,7.90625,7.5,7.5625
2000-11-24,7.75,7.9375,7.59375,7.9375
2000-11-27,8.046875,8.125,7.5,7.75
2000-11-28,7.765625,7.875,7.40625,7.5625
2000-11-29,7.59375,7.59375,7.03125,7.375
2000-11-30,7.0625,7.125,6.5,6.625
2000-12-01,6.96875,7.25,6.78125,6.875
2000-12-04,7.03125,7.09375,6.65625,7.09375
2000-12-05,7.34375,8.40625,7.21875,8.125
2000-12-06,8.125,8.125,7.6875,7.78125
2000-12-07,7.78125,7.796875,6.9375,7.25
2000-12-08,7.4375,8.6875,7.4375,8.6875
2000-12-11,8.71875,9.75,8.15625,8.96875
2000-12-12,8.875,9.25,8.125,8.75
2000-12-13,7.1875,7.375,6.5,6.59375
2000-12-14,6.71875,6.75,5.78125,6.0
2000-12-15,5.9375,6.03125,4.96875,5.25
2000-12-18,5.5,6.4375,5.5,6.34375
2000-12-19,6.34375,6.5625,5.625,5.75
2000-12-20,5.75,5.875,4.96875,5.4375
2000-12-21,5.4375,5.5,4.25,4.75
2000-12-22,4.6875,4.9375,4.0625,4.25
2000-12-26,4.28125,4.5,4.0,4.5
2000-12-27,4.40625,5.125,4.34375,4.6875
2000-12-28,4.65625,4.96875,4.390625,4.9375
2000-12-29,4.875,5.25,4.5625,5.25
2001-01-02,5.125,5.25,4.75,4.875
2001-01-03,4.8125,5.71875,4.75,5.5625
2001-01-04,5.6875,5.9375,5.46875,5.75
2001-01-05,5.625,5.96875,5.5,5.5625
2001-01-08,5.5625,5.6875,5.21875,5.6875
2001-01-09,5.75,6.25,5.71875,6.0625
2001-01-10,6.0625,6.625,5.9375,6.1875
2001-01-11,6.1875,6.1875,5.75,5.9375
2001-01-12,6.0,6.125,5.96875,6.0
2001-01-16,5.875,6.25,5.5,5.75
2001-01-17,5.859375,6.0,5.8125,5.90625
2001-01-18,5.96875,6.3125,5.25,6.1875
2001-01-19,6.6875,6.75,6.0,6.375
2001-01-22,6.375,6.5,5.9375,6.09375
2001-01-23,6.15625,6.9375,6.0625,6.75
2001-01-24,6.96875,8.0,6.875,7.75
2001-01-25,7.6875,7.96875,7.40625,7.875
2001-01-26,7.703125,8.375,7.5,8.0
2001-01-29,8.1875,8.5,7.75,8.21875
2001-01-30,8.25,8.75,7.9375,7.9375
2001-01-31,8.09375,8.1875,6.9375,7.375
2001-02-01,7.4375,7.5,6.5625,7.3125
2001-02-02,7.3125,7.328125,6.625,7.125
2001-02-05,7.109375,7.125,6.5,6.59375
2001-02-06,6.625,7.5625,6.5,7.40625
2001-02-07,7.390625,7.40625,6.90625,7.03125
2001-02-08,7.25,7.6875,7.125,7.28125
2001-02-09,7.28125,7.40625,6.875,7.125
2001-02-12,7.03125,7.125,6.625,6.71875
2001-02-13,6.984375,7.0,6.53125,6.625
2001-02-14,6.53125,6.9375,6.4375,6.75
2001-02-15,6.96875,7.6875,6.9375,7.21875
2001-02-16,6.875,7.25,6.4375,7.0
2001-02-20,7.125,7.125,6.5,6.5
2001-02-21,6.5,6.5625,6.0625,6.125
2001-02-22,6.0625,6.34375,5.96875,6.0625
2001-02-23,6.0,6.078125,5.5,5.8125
2001-02-26,6.0625,6.1875,5.859375,6.0625
2001-02-27,6.1875,6.25,5.6875,5.6875
2001-02-28,5.859375,6.0,5.6875,6.0
2001-03-01,5.8125,6.0,5.5,5.8125
2001-03-02,5.6875,5.8125,5.5,5.8125
2001-03-05,5.875,6.0,5.75,5.78125
2001-03-06,5.9375,6.1875,5.75,5.875
2001-03-07,6.0625,6.40625,6.0625,6.25
2001-03-08,6.21875,6.75,6.0,6.3125
2001-03-09,5.21875,5.71875,4.9375,5.34375
2001-03-12,5.375,5.40625,5.1875,5.3125
2001-03-13,5.375,5.4375,5.1875,5.375
2001-03-14,5.25,5.625,5.0,5.40625
2001-03-15,5.40625,6.0,5.40625,5.875
2001-03-16,5.84375,6.0,5.625,5.6875
2001-03-19,5.65625,5.75,5.0,5.546875
2001-03-20,5.65625,5.71875,5.09375,5.4375
2001-03-21,5.453125,5.625,4.8125,5.0
2001-03-22,5.0625,5.25,4.8125,5.09375
2001-03-23,5.125,5.5,5.0625,5.5
2001-03-26,5.5,5.625,5.125,5.5
2001-03-27,5.40625,5.75,5.28125,5.6875
2001-03-28,5.5625,5.6875,5.5,5.5625
2001-03-29,5.53125,5.5625,4.59375,4.75
2001-03-30,4.78125,5.375,4.78125,5.34375
2001-04-02,5.3125,5.40625,4.875,5.0
2001-04-03,5.125,5.15625,4.125,4.375
2001-04-04,4.34375,4.71875,3.9375,4.0
2001-04-05,4.296875,4.5,4.0,4.4375
2001-04-06,4.25,4.3125,4.03125,4.0625
2001-04-09,4.079999923706055,4.480000019073486,4.070000171661377,4.179999828338623
2001-04-10,4.110000133514404,4.5,4.099999904632568,4.420000076293945
2001-04-11,4.619999885559082,4.800000190734863,4.46999979019165,4.650000095367432
2001-04-12,4.769999980926514,4.78000020980835,4.5,4.650000095367432
2001-04-16,4.5,4.510000228881836,4.25,4.320000171661377
2001-04-17,4.320000171661377,4.320000171661377,3.9800000190734863,4.139999866485596
2001-04-18,4.28000020980835,5.25,4.139999866485596,5.199999809265137
2001-04-19,5.239999771118164,5.380000114440918,5.0,5.269999980926514
2001-04-20,5.260000228881836,5.269999980926514,5.010000228881836,5.090000152587891
2001-04-23,5.079999923706055,5.099999904632568,4.789999961853027,4.900000095367432
2001-04-24,4.820000171661377,5.0,4.789999961853027,4.960000038146973
2001-04-25,4.809999942779541,5.25,4.599999904632568,5.190000057220459
2001-04-26,5.25,5.300000190734863,4.960000038146973,5.159999847412109
2001-04-27,5.25,5.320000171661377,5.010000228881836,5.28000020980835
2001-04-30,5.269999980926514,5.989999771118164,5.25,5.900000095367432
2001-05-01,5.909999847412109,6.03000020980835,5.75,5.880000114440918
2001-05-02,6.0,6.369999885559082,5.800000190734863,6.320000171661377
2001-05-03,6.150000095367432,6.239999771118164,5.960000038146973,6.199999809265137
2001-05-04,6.179999828338623,6.900000095367432,6.010000228881836,6.5
2001-05-07,7.139999866485596,8.0,6.949999809265137,7.429999828338623
2001-05-08,7.650000095367432,7.699999809265137,6.949999809265137,7.480000019073486
2001-05-09,7.389999866485596,7.489999771118164,7.050000190734863,7.179999828338623
2001-05-10,7.230000019073486,7.400000095367432,6.699999809265137,6.730000019073486
2001-05-11,6.739999771118164,6.989999771118164,6.570000171661377,6.699999809265137
2001-05-14,6.690000057220459,6.980000019073486,6.679999828338623,6.769999980926514
2001-05-15,6.829999923706055,7.039999961853027,6.699999809265137,7.0
2001-05-16,6.849999904632568,7.170000076293945,6.840000152587891,7.010000228881836
2001-05-17,7.0,7.150000095367432,6.949999809265137,7.050000190734863
2001-05-18,7.039999961853027,7.039999961853027,6.349999904632568,6.949999809265137
2001-05-21,6.900000095367432,7.300000190734863,6.820000171661377,7.099999904632568
2001-05-22,7.25,7.25,6.760000228881836,6.940000057220459
2001-05-23,7.0,7.03000020980835,6.559999942779541,6.619999885559082
2001-05-24,6.789999961853027,6.949999809265137,6.329999923706055,6.929999828338623
2001-05-25,6.949999809265137,7.099999904632568,6.75,6.800000190734863
2001-05-29,6.800000190734863,6.849999904632568,5.869999885559082,6.099999904632568
2001-05-30,6.0,6.039999961853027,5.599999904632568,5.929999828338623
2001-05-31,5.900000095367432,7.010000228881836,5.869999885559082,7.010000228881836
2001-06-01,6.800000190734863,6.989999771118164,6.5,6.940000057220459
2001-06-04,6.539999961853027,6.949999809265137,6.400000095367432,6.78000020980835
2001-06-05,6.699999809265137,6.949999809265137,6.480000019073486,6.760000228881836
2001-06-06,6.699999809265137,6.889999866485596,6.5,6.699999809265137
2001-06-07,6.71999979019165,6.71999979019165,6.28000020980835,6.699999809265137
2001-06-08,6.650000095367432,6.699999809265137,6.360000133514404,6.389999866485596
2001-06-11,6.349999904632568,6.5,6.159999847412109,6.230000019073486
2001-06-12,6.21999979019165,6.300000190734863,5.96999979019165,6.0
