Date,Open,High,Low,Close
2018-03-23,163.75,176.0,125.25,138.75
2018-03-26,141.375,151.875,136.25,137.5
2018-03-27,139.375,140.625,131.875,133.625
2018-03-28,132.75,132.75,119.5,119.625
2018-03-29,119.25,119.5,103.125,103.75
2018-04-02,106.375,108.75,88.9000015258789,91.875
2018-04-03,104.0,104.875,94.0,104.5
2018-04-04,105.875,105.875,98.5,102.625
2018-04-05,102.875,105.875,100.0,101.375
2018-04-06,101.0,102.2249984741211,98.75,100.0
2018-04-09,100.0,105.0,97.625,100.0
2018-04-10,99.875,102.5,98.875,98.875
2018-04-11,98.25,100.375,97.25,97.75
2018-04-12,96.875,98.25,91.625,92.375
2018-04-13,90.125,96.125,89.875,91.625
2018-04-16,91.75,93.0,85.0,89.25
2018-04-17,90.0,95.75,88.375,94.25
2018-04-18,97.75,100.0,93.75,100.0
2018-04-19,98.5,98.625,93.75,97.25
2018-04-20,96.875,103.625,96.875,100.125
2018-04-23,100.875,100.875,96.25,98.125
2018-04-24,99.125,101.0,97.5,97.625
2018-04-25,96.625,101.125,96.625,98.625
2018-04-26,98.75,101.25,98.125,100.0
2018-04-27,99.75,101.92500305175781,99.55000305175781,101.625
2018-04-30,103.375,112.0,102.82499694824219,111.5
2018-05-01,112.5,122.5,112.5,122.5
2018-05-02,119.875,120.75,110.0,115.125
2018-05-03,115.625,116.625,106.25,112.375
2018-05-04,112.125,114.625,108.375,114.375
2018-05-07,120.0,124.75,117.5,124.75
2018-05-08,124.75,127.125,120.125,124.875
2018-05-09,124.125,131.5,121.875,131.5
2018-05-10,130.75,141.625,130.75,136.0
2018-05-11,134.625,142.5,122.51249694824219,137.625
2018-05-14,138.875,138.875,123.75,124.5
2018-05-15,125.125,130.0,123.75,130.0
2018-05-16,131.0,132.5,125.0,128.5
2018-05-17,127.625,130.25,124.125,128.75
2018-05-18,129.75,129.75,125.125,126.125
2018-05-21,123.875,126.0,114.3375015258789,124.875
2018-05-22,124.875,132.5,121.25,131.875
2018-05-23,130.75,130.75,124.0,125.125
2018-05-24,128.375,128.375,120.1875,121.75
2018-05-25,121.5,122.25,120.125,121.125
2018-05-29,121.375,121.375,117.5,117.625
2018-05-30,118.5,120.0,115.9124984741211,118.125
2018-05-31,117.375,120.5,116.5,119.125
2018-06-01,120.25,131.25,118.5,131.0
2018-06-04,131.25,131.25,126.0,127.125
2018-06-05,126.25,127.0,123.125,125.0
2018-06-06,123.875,129.75,123.375,127.625
2018-06-07,126.875,131.25,125.5,128.125
2018-06-08,127.375,129.375,124.0,125.0
2018-06-11,127.125,131.25,120.0,124.875
2018-06-12,126.11250305175781,126.125,122.625,123.25
2018-06-13,124.0,124.17500305175781,116.0,117.0
2018-06-14,117.88749694824219,121.75,114.25,114.25
2018-06-15,113.125,116.25,111.375,111.75
2018-06-18,113.75,113.75,111.0,112.5
2018-06-19,111.375,123.375,110.75,113.125
2018-06-20,112.625,116.25,112.625,113.625
2018-06-21,114.125,114.125,111.0,111.375
2018-06-22,115.875,115.875,112.5,113.75
2018-06-25,113.625,115.375,110.25,114.375
2018-06-26,113.5,115.75,112.0,114.125
2018-06-27,113.75,116.5,113.375,113.625
2018-06-28,113.875,115.5,113.125,114.125
2018-06-29,113.75,115.75,110.5,111.375
2018-07-02,110.25,113.0,110.0,111.5
2018-07-03,111.0,112.0,107.625,108.75
2018-07-05,108.25,108.4000015258789,102.625,104.125
2018-07-06,103.25,103.75,97.625,102.125
2018-07-09,101.75,102.0,94.875,100.125
2018-07-10,99.5,100.875,95.375,99.125
2018-07-11,98.0,100.0,95.125,96.0
2018-07-12,95.75,99.5,95.0,99.0
2018-07-13,98.0,105.625,97.5,105.625
2018-07-16,105.5,107.0,101.125,106.5
2018-07-17,108.375,110.0625,106.25,110.0
2018-07-18,108.875,110.75,101.25,103.125
2018-07-19,101.875,102.0,97.6875,98.125
2018-07-20,97.875,99.125,96.25,96.5
2018-07-23,97.125,97.375,91.625,92.25
2018-07-24,92.625,93.625,87.875,89.25
2018-07-25,89.94999694824219,90.125,76.5,81.25
2018-07-26,82.5,82.5,74.375,75.125
2018-07-27,74.875,83.0,74.0,79.75
2018-07-30,79.0,79.75,72.125,73.75
2018-07-31,73.25,78.0,72.375,74.5
2018-08-01,74.5,76.125,73.625,76.125
2018-08-02,74.625,79.875,74.25,78.125
2018-08-03,78.4749984741211,78.875,75.2874984741211,77.5
2018-08-06,76.75,76.875,73.75,75.625
2018-08-07,75.625,76.75,75.125,76.75
2018-08-08,76.375,77.5,75.0,76.375
2018-08-09,77.0999984741211,82.125,75.875,78.875
2018-08-10,79.375,84.23750305175781,79.125,81.375
2018-08-13,78.75,79.75,75.88749694824219,78.5
2018-08-14,78.5,78.7125015258789,72.875,75.0
2018-08-15,74.7125015258789,74.73750305175781,70.0,70.875
2018-08-16,72.625,76.875,72.625,76.75
2018-08-17,75.75,75.75,63.125,64.125
2018-08-20,66.625,69.625,66.375,67.75
2018-08-21,68.375,71.625,65.0,71.5
2018-08-22,71.25,71.25,68.125,71.0
2018-08-23,70.25,72.125,69.0,70.0
2018-08-24,68.625,69.125,63.375,67.625
2018-08-27,68.25,98.375,65.125,76.25
2018-08-28,74.875,97.0,69.875,77.0
2018-08-29,81.75,83.32499694824219,77.625,82.5
2018-08-30,83.125,83.125,78.875,79.375
