date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2017-04-28,16.636707305908203,16.636707305908203,2017-04-28,16.636707305908203,2017-04-28,true,true,0
2017-05-01,16.669586181640625,16.669586181640625,2017-05-01,16.636707305908203,2017-04-28,true,false,1
2017-05-02,16.66301155090332,16.669586181640625,2017-05-01,16.636707305908203,2017-04-28,false,false,2
2017-05-03,16.669586181640625,16.669586181640625,2017-05-03,16.636707305908203,2017-04-28,true,false,3
2017-05-04,16.682743072509766,16.682743072509766,2017-05-04,16.636707305908203,2017-04-28,true,false,4
2017-05-05,16.86686134338379,16.86686134338379,2017-05-05,16.636707305908203,2017-04-28,true,false,5
2017-05-08,16.89974021911621,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,true,false,6
2017-05-09,16.86028289794922,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,7
2017-05-10,16.82082748413086,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,8
2017-05-11,16.84055519104004,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,9
2017-05-12,16.886587142944336,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,10
2017-05-15,16.833984375,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,11
2017-05-16,16.82082748413086,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,12
2017-05-17,16.801101684570312,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,13
2017-05-18,16.75178337097168,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,14
2017-05-19,16.82082748413086,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,15
2017-05-22,16.781373977661133,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,16
2017-05-23,16.768224716186523,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,17
2017-05-24,16.73534393310547,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,18
2017-05-25,16.781373977661133,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,19
2017-05-26,16.768224716186523,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,20
2017-05-30,16.82082748413086,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,21
2017-05-31,16.801101684570312,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,22
2017-06-01,16.86686134338379,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,23
2017-06-02,16.886587142944336,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,24
2017-06-05,16.893163681030273,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,25
2017-06-06,16.84055519104004,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,26
2017-06-07,16.761648178100586,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,27
2017-06-08,16.73534393310547,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,28
2017-06-09,16.768224716186523,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,29
2017-06-12,16.83135223388672,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,30
2017-06-13,16.781373977661133,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,31
2017-06-14,16.827407836914062,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,32
2017-06-15,16.880008697509766,16.89974021911621,2017-05-08,16.636707305908203,2017-04-28,false,false,33
2017-06-16,16.926042556762695,16.926042556762695,2017-06-16,16.636707305908203,2017-04-28,true,false,34
2017-06-19,16.965497970581055,16.965497970581055,2017-06-19,16.636707305908203,2017-04-28,true,false,35
2017-06-20,16.86028289794922,16.965497970581055,2017-06-19,16.636707305908203,2017-04-28,false,false,36
2017-06-21,16.847126007080078,16.965497970581055,2017-06-19,16.636707305908203,2017-04-28,false,false,37
2017-06-22,16.814254760742188,16.965497970581055,2017-06-19,16.636707305908203,2017-04-28,false,false,38
2017-06-23,16.801101684570312,16.965497970581055,2017-06-19,16.636707305908203,2017-04-28,false,false,39
2017-06-26,16.97207260131836,16.97207260131836,2017-06-26,16.636707305908203,2017-04-28,true,false,40
2017-06-27,16.9497127532959,16.97207260131836,2017-06-26,16.636707305908203,2017-04-28,false,false,41
2017-06-28,16.97109603881836,16.97207260131836,2017-06-26,16.636707305908203,2017-04-28,false,false,42
2017-06-29,16.957733154296875,16.97207260131836,2017-06-26,16.636707305908203,2017-04-28,false,false,43
2017-06-30,17.048599243164062,17.048599243164062,2017-06-30,16.636707305908203,2017-04-28,true,false,44
2017-07-03,16.70383644104004,17.048599243164062,2017-06-30,16.636707305908203,2017-04-28,false,false,45
2017-07-05,16.98445701599121,17.048599243164062,2017-06-30,16.636707305908203,2017-04-28,false,false,46
2017-07-06,16.997821807861328,17.048599243164062,2017-06-30,16.636707305908203,2017-04-28,false,false,47
2017-07-07,17.118083953857422,17.118083953857422,2017-07-07,16.636707305908203,2017-04-28,true,false,48
2017-07-10,17.024545669555664,17.118083953857422,2017-07-07,16.636707305908203,2017-04-28,false,false,49
2017-07-11,17.037914276123047,17.118083953857422,2017-07-07,16.636707305908203,2017-04-28,false,false,50
2017-07-12,17.104726791381836,17.118083953857422,2017-07-07,16.636707305908203,2017-04-28,false,false,51
2017-07-13,17.104726791381836,17.118083953857422,2017-07-07,16.636707305908203,2017-04-28,false,false,52
2017-07-14,17.13813591003418,17.13813591003418,2017-07-14,16.636707305908203,2017-04-28,true,false,53
2017-07-17,17.13813591003418,17.13813591003418,2017-07-17,16.636707305908203,2017-04-28,true,false,54
2017-07-18,17.15817642211914,17.15817642211914,2017-07-18,16.636707305908203,2017-04-28,true,false,55
2017-07-19,17.13813591003418,17.15817642211914,2017-07-18,16.636707305908203,2017-04-28,false,false,56
2017-07-20,17.171539306640625,17.171539306640625,2017-07-20,16.636707305908203,2017-04-28,true,false,57
2017-07-21,17.245038986206055,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,true,false,58
2017-07-24,17.1387996673584,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,59
2017-07-25,17.13813591003418,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,60
2017-07-26,17.104726791381836,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,61
2017-07-27,17.171539306640625,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,62
2017-07-28,17.07131576538086,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,63
2017-07-31,17.07131576538086,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,64
2017-08-01,17.07131576538086,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,65
2017-08-02,17.104726791381836,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,66
2017-08-03,17.122770309448242,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,67
2017-08-04,17.13813591003418,17.245038986206055,2017-07-21,16.636707305908203,2017-04-28,false,false,68
2017-08-07,17.371984481811523,17.371984481811523,2017-08-07,16.636707305908203,2017-04-28,true,false,69
2017-08-08,17.60584259033203,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,true,false,70
2017-08-09,17.339914321899414,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,71
2017-08-10,17.28512954711914,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,72
2017-08-11,17.30517578125,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,73
2017-08-14,17.412744522094727,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,74
2017-08-15,17.358625411987305,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,75
2017-08-16,17.30517578125,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,76
2017-08-17,17.28512954711914,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,77
2017-08-18,17.171539306640625,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,78
2017-08-21,17.271764755249023,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,79
2017-08-22,17.1514949798584,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,80
2017-08-23,17.184904098510742,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,81
2017-08-24,17.184904098510742,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,82
2017-08-25,17.198266983032227,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,83
2017-08-28,17.198266983032227,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,84
2017-08-29,17.2049503326416,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,85
2017-08-30,17.231678009033203,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,86
2017-08-31,16.70383644104004,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,87
2017-09-01,17.2049503326416,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,88
2017-09-05,16.70383644104004,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,89
2017-09-06,16.70383644104004,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,90
2017-09-07,17.171539306640625,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,91
2017-09-08,17.171539306640625,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,92
2017-09-11,17.265085220336914,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,93
2017-09-12,17.238359451293945,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,94
2017-09-13,17.2049503326416,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,95
2017-09-14,17.30517578125,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,96
2017-09-15,17.171539306640625,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,97
2017-09-18,17.238359451293945,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,98
2017-09-19,17.418087005615234,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,99
2017-09-20,17.291807174682617,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,100
2017-09-21,17.271764755249023,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,101
2017-09-22,17.271764755249023,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,102
2017-09-25,17.371984481811523,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,103
2017-09-26,17.358625411987305,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,104
2017-09-27,17.30517578125,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,105
2017-09-28,17.368417739868164,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,106
2017-09-29,17.354814529418945,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,107
2017-10-02,17.368417739868164,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,108
2017-10-03,17.38201904296875,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,109
2017-10-04,17.368417739868164,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,110
2017-10-05,17.409221649169922,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,111
2017-10-06,17.409221649169922,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,112
2017-10-09,17.349376678466797,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,113
2017-10-10,17.341217041015625,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,114
2017-10-11,17.38201904296875,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,115
2017-10-12,17.416019439697266,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,116
2017-10-13,17.422819137573242,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,117
2017-10-16,17.403778076171875,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,118
2017-10-17,17.511226654052734,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,119
2017-10-18,17.518028259277344,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,120
2017-10-19,17.524829864501953,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,121
2017-10-20,17.55202865600586,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,122
2017-10-23,17.511226654052734,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,123
2017-10-24,17.53162956237793,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,124
2017-10-25,17.477222442626953,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,125
2017-10-26,17.450698852539062,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,126
2017-10-27,17.538427352905273,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,127
2017-10-30,17.518707275390625,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,128
2017-10-31,17.51938819885254,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,129
2017-11-01,17.40717887878418,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,130
2017-11-02,17.46022605895996,17.60584259033203,2017-08-08,16.636707305908203,2017-04-28,false,false,131
2017-11-03,15.675097465515137,17.60584259033203,2017-08-08,15.675097465515137,2017-11-03,false,true,132
2017-11-06,17.34801483154297,17.60584259033203,2017-08-08,15.675097465515137,2017-11-03,false,false,133
2017-11-07,17.436420440673828,17.60584259033203,2017-08-08,15.675097465515137,2017-11-03,false,false,134
2017-11-08,17.620033264160156,17.620033264160156,2017-11-08,15.675097465515137,2017-11-03,true,false,135
2017-11-09,17.57923126220703,17.620033264160156,2017-11-08,15.675097465515137,2017-11-03,false,false,136
2017-11-10,17.64179229736328,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,true,false,137
2017-11-13,17.626834869384766,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,138
2017-11-14,17.490821838378906,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,139
2017-11-15,17.511226654052734,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,140
2017-11-16,17.60643196105957,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,141
2017-11-17,17.511226654052734,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,142
2017-11-20,17.609834671020508,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,143
2017-11-21,17.60643196105957,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,144
2017-11-22,17.501022338867188,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,145
2017-11-24,17.375215530395508,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,146
2017-11-27,17.53162956237793,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,147
2017-11-28,17.541826248168945,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,148
2017-11-29,17.55202865600586,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,149
2017-11-30,17.545230865478516,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,150
2017-12-01,17.545230865478516,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,151
2017-12-04,17.545230865478516,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,152
2017-12-05,17.590112686157227,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,153
2017-12-06,17.511226654052734,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,154
2017-12-07,17.611875534057617,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,155
2017-12-08,17.602352142333984,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,156
2017-12-11,17.511226654052734,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,157
2017-12-12,17.409221649169922,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,158
2017-12-13,17.480623245239258,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,159
2017-12-14,17.545230865478516,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,160
2017-12-15,17.545230865478516,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,161
2017-12-18,17.477222442626953,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,162
2017-12-19,17.375215530395508,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,163
2017-12-20,17.38201904296875,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,164
2017-12-21,17.375215530395508,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,165
2017-12-22,17.33441734313965,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,166
2017-12-26,17.477222442626953,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,167
2017-12-27,17.511226654052734,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,168
2017-12-28,17.536836624145508,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,169
2017-12-29,17.568683624267578,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,170
2018-01-02,17.545148849487305,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,171
2018-01-03,17.47869300842285,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,172
2018-01-04,17.529220581054688,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,173
2018-01-05,17.52714729309082,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,174
2018-01-08,17.553455352783203,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,175
2018-01-09,17.52022361755371,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,176
2018-01-10,17.475231170654297,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,177
2018-01-11,17.589448928833008,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,178
2018-01-12,17.5132999420166,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,179
2018-01-16,17.5132999420166,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,180
2018-01-17,17.544452667236328,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,181
2018-01-18,17.582523345947266,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,182
2018-01-19,17.5132999420166,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,183
2018-01-22,17.482154846191406,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,184
2018-01-23,17.47869300842285,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,185
2018-01-24,17.492536544799805,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,186
2018-01-25,17.52022361755371,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,187
2018-01-26,17.444082260131836,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,188
2018-01-29,17.354089736938477,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,189
2018-01-30,17.291793823242188,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,190
2018-01-31,17.291793823242188,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,191
2018-02-01,17.305635452270508,17.64179229736328,2017-11-10,15.675097465515137,2017-11-03,false,false,192
