date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2021-12-21,10.5,10.5,2021-12-21,10.5,2021-12-21,true,true,0
2021-12-22,12.625,12.625,2021-12-22,10.5,2021-12-21,true,false,1
2021-12-23,11.973999977111816,12.625,2021-12-22,10.5,2021-12-21,false,false,2
2021-12-27,10.970000267028809,12.625,2021-12-22,10.5,2021-12-21,false,false,3
2021-12-28,9.680000305175781,12.625,2021-12-22,9.680000305175781,2021-12-28,false,true,4
2021-12-29,9.100000381469727,12.625,2021-12-22,9.100000381469727,2021-12-29,false,true,5
2021-12-30,10.479999542236328,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,6
2021-12-31,10.375,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,7
2022-01-03,10.597999572753906,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,8
2022-01-04,10.6850004196167,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,9
2022-01-05,10.380000114440918,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,10
2022-01-06,10.5,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,11
2022-01-07,10.75,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,12
2022-01-10,10.300000190734863,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,13
2022-01-11,9.899999618530273,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,14
2022-01-12,9.345000267028809,12.625,2021-12-22,9.100000381469727,2021-12-29,false,false,15
2022-01-13,8.75,12.625,2021-12-22,8.75,2022-01-13,false,true,16
2022-01-14,8.989999771118164,12.625,2021-12-22,8.75,2022-01-13,false,false,17
2022-01-18,8.1899995803833,12.625,2021-12-22,8.1899995803833,2022-01-18,false,true,18
2022-01-19,8.149999618530273,12.625,2021-12-22,8.149999618530273,2022-01-19,false,true,19
2022-01-20,8.229999542236328,12.625,2021-12-22,8.149999618530273,2022-01-19,false,false,20
2022-01-21,7.96999979019165,12.625,2021-12-22,7.96999979019165,2022-01-21,false,true,21
2022-01-24,7.170000076293945,12.625,2021-12-22,7.170000076293945,2022-01-24,false,true,22
2022-01-25,7.239999771118164,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,23
2022-01-26,7.400000095367432,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,24
2022-01-27,7.28000020980835,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,25
2022-01-28,7.800000190734863,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,26
2022-01-31,8.170000076293945,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,27
2022-02-01,8.819999694824219,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,28
2022-02-02,9.300000190734863,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,29
2022-02-03,8.782999992370605,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,30
2022-02-04,8.899999618530273,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,31
2022-02-07,8.420000076293945,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,32
2022-02-08,8.140000343322754,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,33
2022-02-09,8.100000381469727,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,34
2022-02-10,7.769999980926514,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,35
2022-02-11,7.900000095367432,12.625,2021-12-22,7.170000076293945,2022-01-24,false,false,36
2022-02-14,6.599999904632568,12.625,2021-12-22,6.599999904632568,2022-02-14,false,true,37
2022-02-15,7,12.625,2021-12-22,6.599999904632568,2022-02-14,false,false,38
2022-02-16,6.730000019073486,12.625,2021-12-22,6.599999904632568,2022-02-14,false,false,39
2022-02-17,6.300000190734863,12.625,2021-12-22,6.300000190734863,2022-02-17,false,true,40
2022-02-18,6.590000152587891,12.625,2021-12-22,6.300000190734863,2022-02-17,false,false,41
2022-02-22,4.565000057220459,12.625,2021-12-22,4.565000057220459,2022-02-22,false,true,42
2022-02-23,4.119999885559082,12.625,2021-12-22,4.119999885559082,2022-02-23,false,true,43
2022-02-24,3.640000104904175,12.625,2021-12-22,3.640000104904175,2022-02-24,false,true,44
2022-02-25,4.25,12.625,2021-12-22,3.640000104904175,2022-02-24,false,false,45
2022-02-28,4.230000019073486,12.625,2021-12-22,3.640000104904175,2022-02-24,false,false,46
2022-03-01,3.8499999046325684,12.625,2021-12-22,3.640000104904175,2022-02-24,false,false,47
2022-03-02,3.799999952316284,12.625,2021-12-22,3.640000104904175,2022-02-24,false,false,48
2022-03-03,3.559999942779541,12.625,2021-12-22,3.559999942779541,2022-03-03,false,true,49
2022-03-04,2.9800000190734863,12.625,2021-12-22,2.9800000190734863,2022-03-04,false,true,50
2022-03-07,2.700000047683716,12.625,2021-12-22,2.700000047683716,2022-03-07,false,true,51
2022-03-08,2.4200000762939453,12.625,2021-12-22,2.4200000762939453,2022-03-08,false,true,52
2022-03-09,2.700000047683716,12.625,2021-12-22,2.4200000762939453,2022-03-08,false,false,53
2022-03-10,2.4100000858306885,12.625,2021-12-22,2.4100000858306885,2022-03-10,false,true,54
2022-03-11,2.3299999237060547,12.625,2021-12-22,2.3299999237060547,2022-03-11,false,true,55
2022-03-14,2.2799999713897705,12.625,2021-12-22,2.2799999713897705,2022-03-14,false,true,56
2022-03-15,2.319999933242798,12.625,2021-12-22,2.2799999713897705,2022-03-14,false,false,57
2022-03-16,2.200000047683716,12.625,2021-12-22,2.200000047683716,2022-03-16,false,true,58
2022-03-17,2.069999933242798,12.625,2021-12-22,2.069999933242798,2022-03-17,false,true,59
2022-03-18,1.9299999475479126,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,true,60
2022-03-21,2.2699999809265137,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,61
2022-03-22,2.380000114440918,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,62
2022-03-23,2.4800000190734863,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,63
2022-03-24,2.2699999809265137,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,64
2022-03-25,2.130000114440918,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,65
2022-03-28,2,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,66
2022-03-29,2.0199999809265137,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,67
2022-03-30,2.0899999141693115,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,68
2022-03-31,2.0399999618530273,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,69
2022-04-01,2.069999933242798,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,70
2022-04-04,2.200000047683716,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,71
2022-04-05,2.109999895095825,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,72
2022-04-06,2,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,73
2022-04-07,1.940000057220459,12.625,2021-12-22,1.9299999475479126,2022-03-18,false,false,74
2022-04-08,1.899999976158142,12.625,2021-12-22,1.899999976158142,2022-04-08,false,true,75
