date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,2.53125,2.53125,1999-12-31,2.53125,1999-12-31,true,true,0
2000-01-03,2.75,2.75,2000-01-03,2.53125,1999-12-31,true,false,1
2000-01-04,2.75,2.75,2000-01-04,2.53125,1999-12-31,true,false,2
2000-01-05,3.1875,3.1875,2000-01-05,2.53125,1999-12-31,true,false,3
2000-01-06,3.25,3.25,2000-01-06,2.53125,1999-12-31,true,false,4
2000-01-07,3.25,3.25,2000-01-07,2.53125,1999-12-31,true,false,5
2000-01-10,2.75,3.25,2000-01-07,2.53125,1999-12-31,false,false,6
2000-01-11,2.75,3.25,2000-01-07,2.53125,1999-12-31,false,false,7
2000-01-12,2.8125,3.25,2000-01-07,2.53125,1999-12-31,false,false,8
2000-01-13,2.84375,3.25,2000-01-07,2.53125,1999-12-31,false,false,9
2000-01-14,2.875,3.25,2000-01-07,2.53125,1999-12-31,false,false,10
2000-01-18,2.75,3.25,2000-01-07,2.53125,1999-12-31,false,false,11
2000-01-19,2.875,3.25,2000-01-07,2.53125,1999-12-31,false,false,12
2000-01-20,3,3.25,2000-01-07,2.53125,1999-12-31,false,false,13
2000-01-21,3.25,3.25,2000-01-21,2.53125,1999-12-31,true,false,14
2000-01-24,3.0625,3.25,2000-01-21,2.53125,1999-12-31,false,false,15
2000-01-25,3.375,3.375,2000-01-25,2.53125,1999-12-31,true,false,16
2000-01-26,3.4375,3.4375,2000-01-26,2.53125,1999-12-31,true,false,17
2000-01-27,3.125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,18
2000-01-28,3,3.4375,2000-01-26,2.53125,1999-12-31,false,false,19
2000-01-31,3.1875,3.4375,2000-01-26,2.53125,1999-12-31,false,false,20
2000-02-01,3.15625,3.4375,2000-01-26,2.53125,1999-12-31,false,false,21
2000-02-02,3.125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,22
2000-02-03,3.28125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,23
2000-02-04,3.28125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,24
2000-02-07,3.25,3.4375,2000-01-26,2.53125,1999-12-31,false,false,25
2000-02-08,3.1875,3.4375,2000-01-26,2.53125,1999-12-31,false,false,26
2000-02-09,3.25,3.4375,2000-01-26,2.53125,1999-12-31,false,false,27
2000-02-10,3.125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,28
2000-02-11,3.125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,29
2000-02-14,3.0625,3.4375,2000-01-26,2.53125,1999-12-31,false,false,30
2000-02-15,3.0625,3.4375,2000-01-26,2.53125,1999-12-31,false,false,31
2000-02-16,3.125,3.4375,2000-01-26,2.53125,1999-12-31,false,false,32
2000-02-17,3,3.4375,2000-01-26,2.53125,1999-12-31,false,false,33
2000-02-18,3.1875,3.4375,2000-01-26,2.53125,1999-12-31,false,false,34
2000-02-22,3,3.4375,2000-01-26,2.53125,1999-12-31,false,false,35
2000-02-23,3,3.4375,2000-01-26,2.53125,1999-12-31,false,false,36
2000-02-24,2.875,3.4375,2000-01-26,2.53125,1999-12-31,false,false,37
2000-02-25,2.9375,3.4375,2000-01-26,2.53125,1999-12-31,false,false,38
2000-02-28,3.25,3.4375,2000-01-26,2.53125,1999-12-31,false,false,39
2000-02-29,3.25,3.4375,2000-01-26,2.53125,1999-12-31,false,false,40
