date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2008-05-23,1500000,1500000,2008-05-23,1500000,2008-05-23,true,true,0
2008-05-27,1500000,1500000,2008-05-27,1500000,2008-05-27,true,true,1
2008-05-28,1500000,1500000,2008-05-28,1500000,2008-05-28,true,true,2
2008-05-29,1500000,1500000,2008-05-29,1500000,2008-05-29,true,true,3
2008-05-30,1500000,1500000,2008-05-30,1500000,2008-05-30,true,true,4
2008-06-02,1500000,1500000,2008-06-02,1500000,2008-06-02,true,true,5
2008-06-03,1500000,1500000,2008-06-03,1500000,2008-06-03,true,true,6
2008-06-04,1500000,1500000,2008-06-04,1500000,2008-06-04,true,true,7
2008-06-05,1500000,1500000,2008-06-05,1500000,2008-06-05,true,true,8
2008-06-06,1500000,1500000,2008-06-06,1500000,2008-06-06,true,true,9
2008-06-09,1500000,1500000,2008-06-09,1500000,2008-06-09,true,true,10
2008-06-10,1500000,1500000,2008-06-10,1500000,2008-06-10,true,true,11
2008-06-11,1500000,1500000,2008-06-11,1500000,2008-06-11,true,true,12
2008-06-12,1575000,1575000,2008-06-12,1500000,2008-06-11,true,false,13
2008-06-13,1575000,1575000,2008-06-13,1500000,2008-06-11,true,false,14
2008-06-16,1575000,1575000,2008-06-16,1500000,2008-06-11,true,false,15
2008-06-17,1575000,1575000,2008-06-17,1500000,2008-06-11,true,false,16
2008-06-18,1575000,1575000,2008-06-18,1500000,2008-06-11,true,false,17
2008-06-19,1575000,1575000,2008-06-19,1500000,2008-06-11,true,false,18
2008-06-20,1575000,1575000,2008-06-20,1500000,2008-06-11,true,false,19
2008-06-23,1575000,1575000,2008-06-23,1500000,2008-06-11,true,false,20
2008-06-24,1500000,1575000,2008-06-23,1500000,2008-06-24,false,true,21
2008-06-25,1500000,1575000,2008-06-23,1500000,2008-06-25,false,true,22
2008-06-26,1500000,1575000,2008-06-23,1500000,2008-06-26,false,true,23
2008-06-27,1500000,1575000,2008-06-23,1500000,2008-06-27,false,true,24
