date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,113.125,113.125,1999-12-31,113.125,1999-12-31,true,true,0
2000-01-03,115,115,2000-01-03,113.125,1999-12-31,true,false,1
2000-01-04,108.125,115,2000-01-03,108.125,2000-01-04,false,true,2
2000-01-05,106.25,115,2000-01-03,106.25,2000-01-05,false,true,3
2000-01-06,111.25,115,2000-01-03,106.25,2000-01-05,false,false,4
2000-01-07,115.625,115.625,2000-01-07,106.25,2000-01-05,true,false,5
2000-01-10,117.5,117.5,2000-01-10,106.25,2000-01-05,true,false,6
2000-01-11,117.5,117.5,2000-01-11,106.25,2000-01-05,true,false,7
2000-01-12,116.875,117.5,2000-01-11,106.25,2000-01-05,false,false,8
2000-01-13,116.875,117.5,2000-01-11,106.25,2000-01-05,false,false,9
2000-01-14,119.375,119.375,2000-01-14,106.25,2000-01-05,true,false,10
2000-01-18,120.625,120.625,2000-01-18,106.25,2000-01-05,true,false,11
2000-01-19,121.25,121.25,2000-01-19,106.25,2000-01-05,true,false,12
2000-01-20,121.875,121.875,2000-01-20,106.25,2000-01-05,true,false,13
2000-01-21,121.875,121.875,2000-01-21,106.25,2000-01-05,true,false,14
2000-01-24,124.375,124.375,2000-01-24,106.25,2000-01-05,true,false,15
2000-01-25,121.875,124.375,2000-01-24,106.25,2000-01-05,false,false,16
2000-01-26,118.125,124.375,2000-01-24,106.25,2000-01-05,false,false,17
2000-01-27,116.875,124.375,2000-01-24,106.25,2000-01-05,false,false,18
2000-01-28,110,124.375,2000-01-24,106.25,2000-01-05,false,false,19
2000-01-31,113.75,124.375,2000-01-24,106.25,2000-01-05,false,false,20
2000-02-01,116.875,124.375,2000-01-24,106.25,2000-01-05,false,false,21
2000-02-02,121.25,124.375,2000-01-24,106.25,2000-01-05,false,false,22
2000-02-03,121.25,124.375,2000-01-24,106.25,2000-01-05,false,false,23
2000-02-04,139.375,139.375,2000-02-04,106.25,2000-01-05,true,false,24
2000-02-07,138.125,139.375,2000-02-04,106.25,2000-01-05,false,false,25
2000-02-08,152.5,152.5,2000-02-08,106.25,2000-01-05,true,false,26
2000-02-09,146.25,152.5,2000-02-08,106.25,2000-01-05,false,false,27
2000-02-10,150,152.5,2000-02-08,106.25,2000-01-05,false,false,28
2000-02-11,145,152.5,2000-02-08,106.25,2000-01-05,false,false,29
2000-02-14,154.375,154.375,2000-02-14,106.25,2000-01-05,true,false,30
2000-02-15,160,160,2000-02-15,106.25,2000-01-05,true,false,31
2000-02-16,152.5,160,2000-02-15,106.25,2000-01-05,false,false,32
2000-02-17,159.375,160,2000-02-15,106.25,2000-01-05,false,false,33
2000-02-18,144.375,160,2000-02-15,106.25,2000-01-05,false,false,34
2000-02-22,150,160,2000-02-15,106.25,2000-01-05,false,false,35
2000-02-23,146.25,160,2000-02-15,106.25,2000-01-05,false,false,36
2000-02-24,151.25,160,2000-02-15,106.25,2000-01-05,false,false,37
2000-02-25,148.75,160,2000-02-15,106.25,2000-01-05,false,false,38
2000-02-28,148.75,160,2000-02-15,106.25,2000-01-05,false,false,39
2000-02-29,147.5,160,2000-02-15,106.25,2000-01-05,false,false,40
2000-03-01,153.125,160,2000-02-15,106.25,2000-01-05,false,false,41
2000-03-02,153.75,160,2000-02-15,106.25,2000-01-05,false,false,42
2000-03-03,155,160,2000-02-15,106.25,2000-01-05,false,false,43
2000-03-06,165,165,2000-03-06,106.25,2000-01-05,true,false,44
2000-03-07,180,180,2000-03-07,106.25,2000-01-05,true,false,45
2000-03-08,166.875,180,2000-03-07,106.25,2000-01-05,false,false,46
2000-03-09,189.375,189.375,2000-03-09,106.25,2000-01-05,true,false,47
2000-03-10,188.125,189.375,2000-03-09,106.25,2000-01-05,false,false,48
2000-03-13,177.5,189.375,2000-03-09,106.25,2000-01-05,false,false,49
2000-03-14,174.375,189.375,2000-03-09,106.25,2000-01-05,false,false,50
2000-03-15,167.5,189.375,2000-03-09,106.25,2000-01-05,false,false,51
2000-03-16,173.75,189.375,2000-03-09,106.25,2000-01-05,false,false,52
2000-03-17,185,189.375,2000-03-09,106.25,2000-01-05,false,false,53
2000-03-20,178.75,189.375,2000-03-09,106.25,2000-01-05,false,false,54
2000-03-21,179.375,189.375,2000-03-09,106.25,2000-01-05,false,false,55
2000-03-22,180,189.375,2000-03-09,106.25,2000-01-05,false,false,56
2000-03-23,176.25,189.375,2000-03-09,106.25,2000-01-05,false,false,57
2000-03-24,175,189.375,2000-03-09,106.25,2000-01-05,false,false,58
2000-03-27,171.25,189.375,2000-03-09,106.25,2000-01-05,false,false,59
2000-03-28,171.875,189.375,2000-03-09,106.25,2000-01-05,false,false,60
2000-03-29,150,189.375,2000-03-09,106.25,2000-01-05,false,false,61
2000-03-30,148.75,189.375,2000-03-09,106.25,2000-01-05,false,false,62
2000-03-31,147.5,189.375,2000-03-09,106.25,2000-01-05,false,false,63
2000-04-03,128.75,189.375,2000-03-09,106.25,2000-01-05,false,false,64
2000-04-04,133.125,189.375,2000-03-09,106.25,2000-01-05,false,false,65
2000-04-05,145.625,189.375,2000-03-09,106.25,2000-01-05,false,false,66
2000-04-06,157.5,189.375,2000-03-09,106.25,2000-01-05,false,false,67
2000-04-07,155,189.375,2000-03-09,106.25,2000-01-05,false,false,68
2000-04-10,158.75,189.375,2000-03-09,106.25,2000-01-05,false,false,69
2000-04-11,145,189.375,2000-03-09,106.25,2000-01-05,false,false,70
2000-04-12,133.75,189.375,2000-03-09,106.25,2000-01-05,false,false,71
2000-04-13,132.5,189.375,2000-03-09,106.25,2000-01-05,false,false,72
2000-04-14,121.25,189.375,2000-03-09,106.25,2000-01-05,false,false,73
2000-04-17,133.75,189.375,2000-03-09,106.25,2000-01-05,false,false,74
2000-04-18,141.25,189.375,2000-03-09,106.25,2000-01-05,false,false,75
2000-04-19,140,189.375,2000-03-09,106.25,2000-01-05,false,false,76
2000-04-20,146.25,189.375,2000-03-09,106.25,2000-01-05,false,false,77
2000-04-24,138.75,189.375,2000-03-09,106.25,2000-01-05,false,false,78
2000-04-25,140.625,189.375,2000-03-09,106.25,2000-01-05,false,false,79
2000-04-26,140.625,189.375,2000-03-09,106.25,2000-01-05,false,false,80
2000-04-27,138.125,189.375,2000-03-09,106.25,2000-01-05,false,false,81
2000-04-28,135,189.375,2000-03-09,106.25,2000-01-05,false,false,82
2000-05-01,147.5,189.375,2000-03-09,106.25,2000-01-05,false,false,83
2000-05-02,143.125,189.375,2000-03-09,106.25,2000-01-05,false,false,84
2000-05-03,142.5,189.375,2000-03-09,106.25,2000-01-05,false,false,85
2000-05-04,143.75,189.375,2000-03-09,106.25,2000-01-05,false,false,86
2000-05-05,139.375,189.375,2000-03-09,106.25,2000-01-05,false,false,87
2000-05-08,145.625,189.375,2000-03-09,106.25,2000-01-05,false,false,88
2000-05-09,143.125,189.375,2000-03-09,106.25,2000-01-05,false,false,89
2000-05-10,131.25,189.375,2000-03-09,106.25,2000-01-05,false,false,90
2000-05-11,150,189.375,2000-03-09,106.25,2000-01-05,false,false,91
2000-05-12,150,189.375,2000-03-09,106.25,2000-01-05,false,false,92
2000-05-15,151.875,189.375,2000-03-09,106.25,2000-01-05,false,false,93
2000-05-16,160,189.375,2000-03-09,106.25,2000-01-05,false,false,94
2000-05-17,165.625,189.375,2000-03-09,106.25,2000-01-05,false,false,95
2000-05-18,162.5,189.375,2000-03-09,106.25,2000-01-05,false,false,96
2000-05-19,152.5,189.375,2000-03-09,106.25,2000-01-05,false,false,97
2000-05-22,143.125,189.375,2000-03-09,106.25,2000-01-05,false,false,98
2000-05-23,143.75,189.375,2000-03-09,106.25,2000-01-05,false,false,99
2000-05-24,143.75,189.375,2000-03-09,106.25,2000-01-05,false,false,100
2000-05-25,146.25,189.375,2000-03-09,106.25,2000-01-05,false,false,101
2000-05-26,147.5,189.375,2000-03-09,106.25,2000-01-05,false,false,102
2000-05-30,155,189.375,2000-03-09,106.25,2000-01-05,false,false,103
2000-05-31,151.25,189.375,2000-03-09,106.25,2000-01-05,false,false,104
2000-06-01,156.25,189.375,2000-03-09,106.25,2000-01-05,false,false,105
2000-06-02,153.75,189.375,2000-03-09,106.25,2000-01-05,false,false,106
2000-06-05,152.5,189.375,2000-03-09,106.25,2000-01-05,false,false,107
2000-06-06,150,189.375,2000-03-09,106.25,2000-01-05,false,false,108
2000-06-07,147.5,189.375,2000-03-09,106.25,2000-01-05,false,false,109
2000-06-08,145,189.375,2000-03-09,106.25,2000-01-05,false,false,110
2000-06-09,150,189.375,2000-03-09,106.25,2000-01-05,false,false,111
2000-06-12,156.25,189.375,2000-03-09,106.25,2000-01-05,false,false,112
2000-06-13,152.5,189.375,2000-03-09,106.25,2000-01-05,false,false,113
2000-06-14,163.75,189.375,2000-03-09,106.25,2000-01-05,false,false,114
2000-06-15,158.125,189.375,2000-03-09,106.25,2000-01-05,false,false,115
2000-06-16,160,189.375,2000-03-09,106.25,2000-01-05,false,false,116
2000-06-19,154.375,189.375,2000-03-09,106.25,2000-01-05,false,false,117
2000-06-20,146.875,189.375,2000-03-09,106.25,2000-01-05,false,false,118
2000-06-21,143.75,189.375,2000-03-09,106.25,2000-01-05,false,false,119
2000-06-22,145,189.375,2000-03-09,106.25,2000-01-05,false,false,120
2000-06-23,146.875,189.375,2000-03-09,106.25,2000-01-05,false,false,121
2000-06-26,143.75,189.375,2000-03-09,106.25,2000-01-05,false,false,122
2000-06-27,140,189.375,2000-03-09,106.25,2000-01-05,false,false,123
2000-06-28,139.375,189.375,2000-03-09,106.25,2000-01-05,false,false,124
2000-06-29,140,189.375,2000-03-09,106.25,2000-01-05,false,false,125
2000-06-30,145,189.375,2000-03-09,106.25,2000-01-05,false,false,126
2000-07-03,143.75,189.375,2000-03-09,106.25,2000-01-05,false,false,127
2000-07-05,142.5,189.375,2000-03-09,106.25,2000-01-05,false,false,128
2000-07-06,142.5,189.375,2000-03-09,106.25,2000-01-05,false,false,129
2000-07-07,142.5,189.375,2000-03-09,106.25,2000-01-05,false,false,130
2000-07-10,142.5,189.375,2000-03-09,106.25,2000-01-05,false,false,131
2000-07-11,143.125,189.375,2000-03-09,106.25,2000-01-05,false,false,132
2000-07-12,151.25,189.375,2000-03-09,106.25,2000-01-05,false,false,133
2000-07-13,151.25,189.375,2000-03-09,106.25,2000-01-05,false,false,134
