date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2021-10-21,19.809999465942383,19.809999465942383,2021-10-21,19.809999465942383,2021-10-21,true,true,0
2021-10-22,19.920000076293945,19.920000076293945,2021-10-22,19.809999465942383,2021-10-21,true,false,1
2021-10-25,21.610000610351562,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,true,false,2
2021-10-26,20.299999237060547,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,3
2021-10-27,19.90999984741211,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,4
2021-10-28,20.739999771118164,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,5
2021-10-29,20.6299991607666,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,6
2021-11-01,20.5,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,7
2021-11-02,21.34000015258789,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,8
2021-11-03,21,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,9
2021-11-04,21.43000030517578,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,10
2021-11-05,21.549999237060547,21.610000610351562,2021-10-25,19.809999465942383,2021-10-21,false,false,11
2021-11-08,22.549999237060547,22.549999237060547,2021-11-08,19.809999465942383,2021-10-21,true,false,12
2021-11-09,22.459999084472656,22.549999237060547,2021-11-08,19.809999465942383,2021-10-21,false,false,13
2021-11-10,22.459999084472656,22.549999237060547,2021-11-08,19.809999465942383,2021-10-21,false,false,14
2021-11-11,22.520000457763672,22.549999237060547,2021-11-08,19.809999465942383,2021-10-21,false,false,15
2021-11-12,22.940000534057617,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,true,false,16
2021-11-15,22.90999984741211,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,false,false,17
2021-11-16,22.56999969482422,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,false,false,18
2021-11-17,21.420000076293945,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,false,false,19
2021-11-18,21.31999969482422,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,false,false,20
2021-11-19,21.469999313354492,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,false,false,21
2021-11-22,19.93000030517578,22.940000534057617,2021-11-12,19.809999465942383,2021-10-21,false,false,22
2021-11-23,17.799999237060547,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,true,23
2021-11-24,18.350000381469727,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,24
2021-11-26,18.149999618530273,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,25
2021-11-29,19.610000610351562,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,26
2021-11-30,19.360000610351562,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,27
2021-12-01,19.65999984741211,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,28
2021-12-02,18.760000228881836,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,29
2021-12-03,18.690000534057617,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,30
2021-12-06,19.040000915527344,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,31
2021-12-07,19.979999542236328,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,32
2021-12-08,19.799999237060547,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,33
2021-12-09,19.360000610351562,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,34
2021-12-10,18.510000228881836,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,35
2021-12-13,19.459999084472656,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,36
2021-12-14,19.110000610351562,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,37
2021-12-15,19.959999084472656,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,38
2021-12-16,18.790000915527344,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,39
2021-12-17,18.309999465942383,22.940000534057617,2021-11-12,17.799999237060547,2021-11-23,false,false,40
2021-12-20,17.799999237060547,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,true,41
2021-12-21,18.56999969482422,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,42
2021-12-22,18.709999084472656,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,43
2021-12-23,19.079999923706055,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,44
2021-12-27,19.600000381469727,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,45
2021-12-28,19.8799991607666,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,46
2021-12-29,20.329999923706055,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,47
2021-12-30,21.440000534057617,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,48
2021-12-31,20.940000534057617,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,49
2022-01-03,21.350000381469727,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,50
2022-01-04,19.81999969482422,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,51
2022-01-05,18.5,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,52
2022-01-06,18.920000076293945,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,53
2022-01-07,18.700000762939453,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,54
2022-01-10,18.200000762939453,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,55
2022-01-11,18.68000030517578,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,56
2022-01-12,18.31999969482422,22.940000534057617,2021-11-12,17.799999237060547,2021-12-20,false,false,57
2022-01-13,17.09000015258789,22.940000534057617,2021-11-12,17.09000015258789,2022-01-13,false,true,58
2022-01-14,16.6200008392334,22.940000534057617,2021-11-12,16.6200008392334,2022-01-14,false,true,59
2022-01-18,15.460000038146973,22.940000534057617,2021-11-12,15.460000038146973,2022-01-18,false,true,60
2022-01-19,14.859999656677246,22.940000534057617,2021-11-12,14.859999656677246,2022-01-19,false,true,61
2022-01-20,14.390000343322754,22.940000534057617,2021-11-12,14.390000343322754,2022-01-20,false,true,62
2022-01-21,13.739999771118164,22.940000534057617,2021-11-12,13.739999771118164,2022-01-21,false,true,63
2022-01-24,13.5,22.940000534057617,2021-11-12,13.5,2022-01-24,false,true,64
2022-01-25,12.930000305175781,22.940000534057617,2021-11-12,12.930000305175781,2022-01-25,false,true,65
2022-01-26,12.539999961853027,22.940000534057617,2021-11-12,12.539999961853027,2022-01-26,false,true,66
2022-01-27,12.109999656677246,22.940000534057617,2021-11-12,12.109999656677246,2022-01-27,false,true,67
2022-01-28,11.960000038146973,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,true,68
2022-01-31,13.8100004196167,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,69
2022-02-01,14.050000190734863,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,70
2022-02-02,13.880000114440918,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,71
2022-02-03,13.229999542236328,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,72
2022-02-04,13.989999771118164,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,73
2022-02-07,14.329999923706055,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,74
2022-02-08,15.4399995803833,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,75
2022-02-09,16.280000686645508,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,76
2022-02-10,16.3700008392334,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,77
2022-02-11,16.15999984741211,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,78
2022-02-14,17.030000686645508,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,79
2022-02-15,16.860000610351562,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,80
2022-02-16,17.200000762939453,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,81
2022-02-17,16.549999237060547,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,82
2022-02-18,15.520000457763672,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,83
2022-02-22,16.190000534057617,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,84
2022-02-23,14.880000114440918,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,85
2022-02-24,15.90999984741211,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,86
2022-02-25,16.440000534057617,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,87
2022-02-28,16.59000015258789,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,88
2022-03-01,16.079999923706055,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,89
2022-03-02,16.1200008392334,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,90
2022-03-03,15.609999656677246,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,91
2022-03-04,15.09000015258789,22.940000534057617,2021-11-12,11.960000038146973,2022-01-28,false,false,92
