date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,10.399949073791504,10.399949073791504,1999-12-31,10.399949073791504,1999-12-31,true,true,0
2000-01-03,10.399949073791504,10.399949073791504,2000-01-03,10.399949073791504,2000-01-03,true,true,1
2000-01-04,10.399949073791504,10.399949073791504,2000-01-04,10.399949073791504,2000-01-04,true,true,2
2000-01-05,10.399949073791504,10.399949073791504,2000-01-05,10.399949073791504,2000-01-05,true,true,3
2000-01-06,10.399949073791504,10.399949073791504,2000-01-06,10.399949073791504,2000-01-06,true,true,4
2000-01-07,10.399949073791504,10.399949073791504,2000-01-07,10.399949073791504,2000-01-07,true,true,5
2000-01-10,10.399949073791504,10.399949073791504,2000-01-10,10.399949073791504,2000-01-10,true,true,6
2000-01-11,10.399949073791504,10.399949073791504,2000-01-11,10.399949073791504,2000-01-11,true,true,7
2000-01-12,10.399949073791504,10.399949073791504,2000-01-12,10.399949073791504,2000-01-12,true,true,8
2000-01-13,10.399949073791504,10.399949073791504,2000-01-13,10.399949073791504,2000-01-13,true,true,9
2000-01-14,10.399949073791504,10.399949073791504,2000-01-14,10.399949073791504,2000-01-14,true,true,10
2000-01-18,10.399949073791504,10.399949073791504,2000-01-18,10.399949073791504,2000-01-18,true,true,11
2000-01-19,10.399949073791504,10.399949073791504,2000-01-19,10.399949073791504,2000-01-19,true,true,12
2000-01-20,10.399949073791504,10.399949073791504,2000-01-20,10.399949073791504,2000-01-20,true,true,13
2000-01-21,10.399949073791504,10.399949073791504,2000-01-21,10.399949073791504,2000-01-21,true,true,14
2000-01-24,10.399949073791504,10.399949073791504,2000-01-24,10.399949073791504,2000-01-24,true,true,15
2000-01-25,10.399949073791504,10.399949073791504,2000-01-25,10.399949073791504,2000-01-25,true,true,16
2000-01-26,10.399949073791504,10.399949073791504,2000-01-26,10.399949073791504,2000-01-26,true,true,17
2000-01-27,10.399949073791504,10.399949073791504,2000-01-27,10.399949073791504,2000-01-27,true,true,18
2000-01-28,10.399949073791504,10.399949073791504,2000-01-28,10.399949073791504,2000-01-28,true,true,19
2000-01-31,10.399949073791504,10.399949073791504,2000-01-31,10.399949073791504,2000-01-31,true,true,20
2000-02-01,10.399949073791504,10.399949073791504,2000-02-01,10.399949073791504,2000-02-01,true,true,21
2000-02-02,10.399949073791504,10.399949073791504,2000-02-02,10.399949073791504,2000-02-02,true,true,22
2000-02-03,10.399949073791504,10.399949073791504,2000-02-03,10.399949073791504,2000-02-03,true,true,23
2000-02-04,10.399949073791504,10.399949073791504,2000-02-04,10.399949073791504,2000-02-04,true,true,24
2000-02-07,10.399949073791504,10.399949073791504,2000-02-07,10.399949073791504,2000-02-07,true,true,25
2000-02-08,10.399949073791504,10.399949073791504,2000-02-08,10.399949073791504,2000-02-08,true,true,26
2000-02-09,10.399949073791504,10.399949073791504,2000-02-09,10.399949073791504,2000-02-09,true,true,27
2000-02-10,10.399949073791504,10.399949073791504,2000-02-10,10.399949073791504,2000-02-10,true,true,28
2000-02-11,10.399949073791504,10.399949073791504,2000-02-11,10.399949073791504,2000-02-11,true,true,29
2000-02-14,10.65902328491211,10.65902328491211,2000-02-14,10.399949073791504,2000-02-11,true,false,30
2000-02-15,10.696033477783203,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,true,false,31
2000-02-16,10.547990798950195,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,32
2000-02-17,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,33
2000-02-18,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,34
2000-02-22,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,35
2000-02-23,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,36
2000-02-24,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,37
2000-02-25,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,38
2000-02-28,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,39
2000-02-29,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,40
2000-03-01,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,41
2000-03-02,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,42
2000-03-03,10.585002899169922,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,43
2000-03-06,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,44
2000-03-07,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,45
2000-03-08,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,46
2000-03-09,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,47
2000-03-10,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,48
2000-03-13,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,49
2000-03-14,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,50
2000-03-15,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,51
2000-03-16,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,52
2000-03-17,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,53
2000-03-20,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,54
2000-03-21,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,55
2000-03-22,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,56
2000-03-23,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,57
2000-03-24,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,58
2000-03-27,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,59
2000-03-28,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,60
2000-03-29,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,61
2000-03-30,10.436960220336914,10.696033477783203,2000-02-15,10.399949073791504,2000-02-11,false,false,62
