date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2018-10-30,9.5,9.5,2018-10-30,9.5,2018-10-30,true,true,0
2018-10-31,9.550000190734863,9.550000190734863,2018-10-31,9.5,2018-10-30,true,false,1
2018-11-01,9.550000190734863,9.550000190734863,2018-11-01,9.5,2018-10-30,true,false,2
2018-11-02,9.600000381469727,9.600000381469727,2018-11-02,9.5,2018-10-30,true,false,3
2018-11-05,9.600000381469727,9.600000381469727,2018-11-05,9.5,2018-10-30,true,false,4
2018-11-06,9.600000381469727,9.600000381469727,2018-11-06,9.5,2018-10-30,true,false,5
2018-11-07,9.600000381469727,9.600000381469727,2018-11-07,9.5,2018-10-30,true,false,6
2018-11-08,9.600000381469727,9.600000381469727,2018-11-08,9.5,2018-10-30,true,false,7
2018-11-09,9.600000381469727,9.600000381469727,2018-11-09,9.5,2018-10-30,true,false,8
2018-11-12,9.600000381469727,9.600000381469727,2018-11-12,9.5,2018-10-30,true,false,9
2018-11-13,9.600000381469727,9.600000381469727,2018-11-13,9.5,2018-10-30,true,false,10
2018-11-14,9.600000381469727,9.600000381469727,2018-11-14,9.5,2018-10-30,true,false,11
2018-11-15,10,10,2018-11-15,9.5,2018-10-30,true,false,12
2018-11-16,9.550000190734863,10,2018-11-15,9.5,2018-10-30,false,false,13
2018-11-19,9.550000190734863,10,2018-11-15,9.5,2018-10-30,false,false,14
2018-11-20,9.550000190734863,10,2018-11-15,9.5,2018-10-30,false,false,15
2018-11-21,9.5600004196167,10,2018-11-15,9.5,2018-10-30,false,false,16
2018-11-23,9.5600004196167,10,2018-11-15,9.5,2018-10-30,false,false,17
2018-11-26,9.5600004196167,10,2018-11-15,9.5,2018-10-30,false,false,18
2018-11-27,9.5600004196167,10,2018-11-15,9.5,2018-10-30,false,false,19
2018-11-28,9.5600004196167,10,2018-11-15,9.5,2018-10-30,false,false,20
2018-11-29,9.619999885559082,10,2018-11-15,9.5,2018-10-30,false,false,21
2018-11-30,9.630000114440918,10,2018-11-15,9.5,2018-10-30,false,false,22
2018-12-03,9.630000114440918,10,2018-11-15,9.5,2018-10-30,false,false,23
2018-12-04,9.630000114440918,10,2018-11-15,9.5,2018-10-30,false,false,24
2018-12-06,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,25
2018-12-07,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,26
2018-12-10,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,27
2018-12-11,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,28
2018-12-12,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,29
2018-12-13,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,30
2018-12-14,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,31
2018-12-17,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,32
2018-12-18,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,33
2018-12-19,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,34
2018-12-20,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,35
2018-12-21,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,36
2018-12-24,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,37
2018-12-26,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,38
2018-12-27,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,39
2018-12-28,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,40
2018-12-31,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,41
2019-01-02,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,42
2019-01-03,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,43
2019-01-04,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,44
2019-01-07,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,45
2019-01-08,9.649999618530273,10,2018-11-15,9.5,2018-10-30,false,false,46
2019-01-09,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,47
2019-01-10,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,48
2019-01-11,9.680000305175781,10,2018-11-15,9.5,2018-10-30,false,false,49
2019-01-14,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,50
2019-01-15,9.670000076293945,10,2018-11-15,9.5,2018-10-30,false,false,51
2019-01-16,9.670000076293945,10,2018-11-15,9.5,2018-10-30,false,false,52
2019-01-17,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,53
2019-01-18,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,54
2019-01-22,9.6899995803833,10,2018-11-15,9.5,2018-10-30,false,false,55
2019-01-23,9.75,10,2018-11-15,9.5,2018-10-30,false,false,56
2019-01-24,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,57
2019-01-25,9.65999984741211,10,2018-11-15,9.5,2018-10-30,false,false,58
2019-01-28,9.710000038146973,10,2018-11-15,9.5,2018-10-30,false,false,59
2019-01-29,9.75,10,2018-11-15,9.5,2018-10-30,false,false,60
2019-01-30,9.710000038146973,10,2018-11-15,9.5,2018-10-30,false,false,61
2019-01-31,9.710000038146973,10,2018-11-15,9.5,2018-10-30,false,false,62
2019-02-01,9.710000038146973,10,2018-11-15,9.5,2018-10-30,false,false,63
2019-02-04,9.770000457763672,10,2018-11-15,9.5,2018-10-30,false,false,64
2019-02-05,9.770000457763672,10,2018-11-15,9.5,2018-10-30,false,false,65
2019-02-06,9.819999694824219,10,2018-11-15,9.5,2018-10-30,false,false,66
2019-02-07,9.800000190734863,10,2018-11-15,9.5,2018-10-30,false,false,67
2019-02-08,9.800000190734863,10,2018-11-15,9.5,2018-10-30,false,false,68
2019-02-11,9.800000190734863,10,2018-11-15,9.5,2018-10-30,false,false,69
2019-02-12,9.789999961853027,10,2018-11-15,9.5,2018-10-30,false,false,70
2019-02-13,9.789999961853027,10,2018-11-15,9.5,2018-10-30,false,false,71
2019-02-14,9.800000190734863,10,2018-11-15,9.5,2018-10-30,false,false,72
2019-02-15,9.800000190734863,10,2018-11-15,9.5,2018-10-30,false,false,73
2019-02-19,9.800000190734863,10,2018-11-15,9.5,2018-10-30,false,false,74
2019-02-20,9.850000381469727,10,2018-11-15,9.5,2018-10-30,false,false,75
2019-02-21,9.770000457763672,10,2018-11-15,9.5,2018-10-30,false,false,76
2019-02-22,9.770000457763672,10,2018-11-15,9.5,2018-10-30,false,false,77
2019-02-25,9.789999961853027,10,2018-11-15,9.5,2018-10-30,false,false,78
