date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,7.25,7.25,1999-12-31,7.25,1999-12-31,true,true,0
2000-01-03,7.125,7.25,1999-12-31,7.125,2000-01-03,false,true,1
2000-01-04,7.1875,7.25,1999-12-31,7.125,2000-01-03,false,false,2
2000-01-05,7.0625,7.25,1999-12-31,7.0625,2000-01-05,false,true,3
2000-01-06,7.125,7.25,1999-12-31,7.0625,2000-01-05,false,false,4
2000-01-07,7.0625,7.25,1999-12-31,7.0625,2000-01-07,false,true,5
2000-01-10,7.0625,7.25,1999-12-31,7.0625,2000-01-10,false,true,6
2000-01-11,7.1875,7.25,1999-12-31,7.0625,2000-01-10,false,false,7
2000-01-12,7.1875,7.25,1999-12-31,7.0625,2000-01-10,false,false,8
2000-01-13,7.125,7.25,1999-12-31,7.0625,2000-01-10,false,false,9
2000-01-14,7.125,7.25,1999-12-31,7.0625,2000-01-10,false,false,10
2000-01-18,7.375,7.375,2000-01-18,7.0625,2000-01-10,true,false,11
2000-01-19,8,8,2000-01-19,7.0625,2000-01-10,true,false,12
2000-01-20,8.8125,8.8125,2000-01-20,7.0625,2000-01-10,true,false,13
2000-01-21,9.03125,9.03125,2000-01-21,7.0625,2000-01-10,true,false,14
2000-01-24,9.125,9.125,2000-01-24,7.0625,2000-01-10,true,false,15
2000-01-25,9.25,9.25,2000-01-25,7.0625,2000-01-10,true,false,16
2000-01-26,9.125,9.25,2000-01-25,7.0625,2000-01-10,false,false,17
2000-01-27,8.1875,9.25,2000-01-25,7.0625,2000-01-10,false,false,18
2000-01-28,7.9375,9.25,2000-01-25,7.0625,2000-01-10,false,false,19
2000-01-31,8,9.25,2000-01-25,7.0625,2000-01-10,false,false,20
2000-02-01,7.796875,9.25,2000-01-25,7.0625,2000-01-10,false,false,21
2000-02-02,7.75,9.25,2000-01-25,7.0625,2000-01-10,false,false,22
2000-02-03,7.625,9.25,2000-01-25,7.0625,2000-01-10,false,false,23
2000-02-04,7.5625,9.25,2000-01-25,7.0625,2000-01-10,false,false,24
2000-02-07,7.3125,9.25,2000-01-25,7.0625,2000-01-10,false,false,25
2000-02-08,7.1875,9.25,2000-01-25,7.0625,2000-01-10,false,false,26
2000-02-09,7.5625,9.25,2000-01-25,7.0625,2000-01-10,false,false,27
2000-02-10,7.875,9.25,2000-01-25,7.0625,2000-01-10,false,false,28
2000-02-11,7.6875,9.25,2000-01-25,7.0625,2000-01-10,false,false,29
2000-02-14,7.65625,9.25,2000-01-25,7.0625,2000-01-10,false,false,30
2000-02-15,7.3125,9.25,2000-01-25,7.0625,2000-01-10,false,false,31
2000-02-16,7.5,9.25,2000-01-25,7.0625,2000-01-10,false,false,32
2000-02-17,7.40625,9.25,2000-01-25,7.0625,2000-01-10,false,false,33
2000-02-18,7.3125,9.25,2000-01-25,7.0625,2000-01-10,false,false,34
2000-02-22,7.375,9.25,2000-01-25,7.0625,2000-01-10,false,false,35
2000-02-23,7.28125,9.25,2000-01-25,7.0625,2000-01-10,false,false,36
2000-02-24,7.125,9.25,2000-01-25,7.0625,2000-01-10,false,false,37
2000-02-25,7.0625,9.25,2000-01-25,7.0625,2000-02-25,false,true,38
2000-02-28,7.09375,9.25,2000-01-25,7.0625,2000-02-25,false,false,39
2000-02-29,7,9.25,2000-01-25,7,2000-02-29,false,true,40
2000-03-01,6.75,9.25,2000-01-25,6.75,2000-03-01,false,true,41
2000-03-02,6.75,9.25,2000-01-25,6.75,2000-03-02,false,true,42
2000-03-03,7.03125,9.25,2000-01-25,6.75,2000-03-02,false,false,43
2000-03-06,7.21875,9.25,2000-01-25,6.75,2000-03-02,false,false,44
2000-03-07,7.1875,9.25,2000-01-25,6.75,2000-03-02,false,false,45
2000-03-08,7.125,9.25,2000-01-25,6.75,2000-03-02,false,false,46
2000-03-09,7.09375,9.25,2000-01-25,6.75,2000-03-02,false,false,47
2000-03-10,7.03125,9.25,2000-01-25,6.75,2000-03-02,false,false,48
2000-03-13,6.875,9.25,2000-01-25,6.75,2000-03-02,false,false,49
2000-03-14,6.8125,9.25,2000-01-25,6.75,2000-03-02,false,false,50
2000-03-15,6.875,9.25,2000-01-25,6.75,2000-03-02,false,false,51
