date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2017-05-12,21.05813980102539,21.05813980102539,2017-05-12,21.05813980102539,2017-05-12,true,true,0
2017-05-15,21.976316452026367,21.976316452026367,2017-05-15,21.05813980102539,2017-05-12,true,false,1
2017-05-16,22.0561580657959,22.0561580657959,2017-05-16,21.05813980102539,2017-05-12,true,false,2
2017-05-17,22.0561580657959,22.0561580657959,2017-05-17,21.05813980102539,2017-05-12,true,false,3
2017-05-18,22.455364227294922,22.455364227294922,2017-05-18,21.05813980102539,2017-05-12,true,false,4
2017-05-19,22.674924850463867,22.674924850463867,2017-05-19,21.05813980102539,2017-05-12,true,false,5
2017-05-22,22.844587326049805,22.844587326049805,2017-05-22,21.05813980102539,2017-05-12,true,false,6
2017-05-23,23.403480529785156,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,true,false,7
2017-05-24,23.303678512573242,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,8
2017-05-25,22.465343475341797,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,9
2017-05-26,22.984312057495117,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,10
2017-05-30,22.904470443725586,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,11
2017-05-31,22.88450813293457,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,12
2017-06-01,22.88450813293457,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,13
2017-06-02,22.60506820678711,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,14
2017-06-05,22.585102081298828,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,15
2017-06-06,22.24578285217285,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,16
2017-06-07,21.716829299926758,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,17
2017-06-08,21.60704803466797,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,18
2017-06-09,22.445383071899414,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,19
2017-06-12,22.984312057495117,23.403480529785156,2017-05-23,21.05813980102539,2017-05-12,false,false,20
2017-06-13,23.44339942932129,23.44339942932129,2017-06-13,21.05813980102539,2017-05-12,true,false,21
2017-06-14,23.203876495361328,23.44339942932129,2017-06-13,21.05813980102539,2017-05-12,false,false,22
2017-06-15,22.94439125061035,23.44339942932129,2017-06-13,21.05813980102539,2017-05-12,false,false,23
2017-06-16,23.87254524230957,23.87254524230957,2017-06-16,21.05813980102539,2017-05-12,true,false,24
2017-06-19,23.87254524230957,23.87254524230957,2017-06-19,21.05813980102539,2017-05-12,true,false,25
2017-06-20,22.57512664794922,23.87254524230957,2017-06-19,21.05813980102539,2017-05-12,false,false,26
2017-06-21,20.67889404296875,23.87254524230957,2017-06-19,20.67889404296875,2017-06-21,false,true,27
2017-06-22,21.018220901489258,23.87254524230957,2017-06-19,20.67889404296875,2017-06-21,false,false,28
2017-06-23,20.42938995361328,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,true,29
2017-06-26,20.459331512451172,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,30
2017-06-27,21.247764587402344,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,31
2017-06-28,21.22780418395996,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,32
2017-06-29,21.38748550415039,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,33
2017-06-30,21.567129135131836,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,34
2017-07-03,22.29568099975586,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,35
2017-07-05,21.77671241760254,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,36
2017-07-06,20.92839813232422,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,37
2017-07-07,20.62899398803711,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,38
2017-07-10,21.297664642333984,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,39
2017-07-11,21.686887741088867,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,40
2017-07-12,22.086095809936523,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,41
2017-07-13,22.0162353515625,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,42
2017-07-14,22.036197662353516,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,43
2017-07-17,22.92443084716797,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,44
2017-07-18,22.994291305541992,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,45
2017-07-19,23.373537063598633,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,46
2017-07-20,23.503280639648438,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,47
2017-07-21,22.964351654052734,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,48
2017-07-24,23.094093322753906,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,49
2017-07-25,23.403480529785156,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,50
2017-07-26,22.774728775024414,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,51
2017-07-27,23.183914184570312,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,52
2017-07-28,23.044193267822266,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,53
2017-07-31,22.91444969177246,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,54
2017-08-01,22.455364227294922,23.87254524230957,2017-06-19,20.42938995361328,2017-06-23,false,false,55
