date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,5.082208156585693,5.082208156585693,1999-12-31,5.082208156585693,1999-12-31,true,true,0
2000-01-03,5.082208156585693,5.082208156585693,2000-01-03,5.082208156585693,2000-01-03,true,true,1
2000-01-04,4.912799835205078,5.082208156585693,2000-01-03,4.912799835205078,2000-01-04,false,true,2
2000-01-05,4.912799835205078,5.082208156585693,2000-01-03,4.912799835205078,2000-01-05,false,true,3
2000-01-06,5.082208156585693,5.082208156585693,2000-01-06,4.912799835205078,2000-01-05,true,false,4
2000-01-07,4.743393421173096,5.082208156585693,2000-01-06,4.743393421173096,2000-01-07,false,true,5
2000-01-10,4.912799835205078,5.082208156585693,2000-01-06,4.743393421173096,2000-01-07,false,false,6
2000-01-11,4.573986530303955,5.082208156585693,2000-01-06,4.573986530303955,2000-01-11,false,true,7
2000-01-12,4.235171318054199,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,true,8
2000-01-13,4.573986530303955,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,9
2000-01-14,4.4045796394348145,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,10
2000-01-18,4.743393421173096,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,11
2000-01-19,4.4045796394348145,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,12
2000-01-20,4.573986530303955,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,13
2000-01-21,4.573986530303955,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,14
2000-01-24,4.4045796394348145,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,15
2000-01-25,4.4045796394348145,5.082208156585693,2000-01-06,4.235171318054199,2000-01-12,false,false,16
2000-01-26,4.235171318054199,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,true,17
2000-01-27,4.4045796394348145,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,false,18
2000-01-28,4.4045796394348145,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,false,19
2000-01-31,4.319876670837402,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,false,20
2000-02-01,4.277524471282959,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,false,21
2000-02-02,4.362227916717529,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,false,22
2000-02-03,4.319876670837402,5.082208156585693,2000-01-06,4.235171318054199,2000-01-26,false,false,23
2000-02-04,5.293965816497803,5.293965816497803,2000-02-04,4.235171318054199,2000-01-26,true,false,24
2000-02-07,5.9292402267456055,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,true,false,25
2000-02-08,4.912799835205078,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,26
2000-02-09,5.4210205078125,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,27
2000-02-10,5.590427398681641,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,28
2000-02-11,5.4210205078125,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,29
2000-02-14,5.082208156585693,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,30
2000-02-15,5.251613140106201,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,31
2000-02-16,5.293965816497803,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,32
2000-02-17,5.251613140106201,5.9292402267456055,2000-02-07,4.235171318054199,2000-01-26,false,false,33
