date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,7.104518890380859,7.104518890380859,1999-12-31,7.104518890380859,1999-12-31,true,true,0
2000-01-03,7.128046989440918,7.128046989440918,2000-01-03,7.104518890380859,1999-12-31,true,false,1
2000-01-04,7.363295078277588,7.363295078277588,2000-01-04,7.104518890380859,1999-12-31,true,false,2
2000-01-05,7.480918884277344,7.480918884277344,2000-01-05,7.104518890380859,1999-12-31,true,false,3
2000-01-06,7.198622703552246,7.480918884277344,2000-01-05,7.104518890380859,1999-12-31,false,false,4
2000-01-07,7.128046989440918,7.480918884277344,2000-01-05,7.104518890380859,1999-12-31,false,false,5
2000-01-10,6.939844608306885,7.480918884277344,2000-01-05,6.939844608306885,2000-01-10,false,true,6
2000-01-11,6.892797946929932,7.480918884277344,2000-01-05,6.892797946929932,2000-01-11,false,true,7
2000-01-12,6.9868974685668945,7.480918884277344,2000-01-05,6.892797946929932,2000-01-11,false,false,8
2000-01-13,7.151572227478027,7.480918884277344,2000-01-05,6.892797946929932,2000-01-11,false,false,9
2000-01-14,6.939844608306885,7.480918884277344,2000-01-05,6.892797946929932,2000-01-11,false,false,10
2000-01-18,6.775173664093018,7.480918884277344,2000-01-05,6.775173664093018,2000-01-18,false,true,11
2000-01-19,6.775173664093018,7.480918884277344,2000-01-05,6.775173664093018,2000-01-19,false,true,12
2000-01-20,6.5399250984191895,7.480918884277344,2000-01-05,6.5399250984191895,2000-01-20,false,true,13
2000-01-21,6.328197956085205,7.480918884277344,2000-01-05,6.328197956085205,2000-01-21,false,true,14
2000-01-24,6.1400017738342285,7.480918884277344,2000-01-05,6.1400017738342285,2000-01-24,false,true,15
2000-01-25,6.069425582885742,7.480918884277344,2000-01-05,6.069425582885742,2000-01-25,false,true,16
2000-01-26,6.210575580596924,7.480918884277344,2000-01-05,6.069425582885742,2000-01-25,false,false,17
2000-01-27,6.375250816345215,7.480918884277344,2000-01-05,6.069425582885742,2000-01-25,false,false,18
