date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2012-05-04,119.5999984741211,119.5999984741211,2012-05-04,119.5999984741211,2012-05-04,true,true,0
2012-05-07,119.5999984741211,119.5999984741211,2012-05-07,119.5999984741211,2012-05-07,true,true,1
2012-05-08,104,119.5999984741211,2012-05-07,104,2012-05-08,false,true,2
2012-05-09,104,119.5999984741211,2012-05-07,104,2012-05-09,false,true,3
2012-05-10,104,119.5999984741211,2012-05-07,104,2012-05-10,false,true,4
2012-05-11,105.04000091552734,119.5999984741211,2012-05-07,104,2012-05-10,false,false,5
2012-05-14,107.12000274658203,119.5999984741211,2012-05-07,104,2012-05-10,false,false,6
2012-05-15,105.04000091552734,119.5999984741211,2012-05-07,104,2012-05-10,false,false,7
2012-05-16,105.04000091552734,119.5999984741211,2012-05-07,104,2012-05-10,false,false,8
2012-05-17,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-17,false,true,9
2012-05-18,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-18,false,true,10
2012-05-21,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-21,false,true,11
2012-05-22,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-22,false,true,12
2012-05-23,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-23,false,true,13
2012-05-24,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-24,false,true,14
2012-05-25,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-25,false,true,15
2012-05-29,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-29,false,true,16
2012-05-30,97.76000213623047,119.5999984741211,2012-05-07,97.76000213623047,2012-05-30,false,true,17
2012-05-31,104,119.5999984741211,2012-05-07,97.76000213623047,2012-05-30,false,false,18
2012-06-01,78,119.5999984741211,2012-05-07,78,2012-06-01,false,true,19
2012-06-04,104,119.5999984741211,2012-05-07,78,2012-06-01,false,false,20
2012-06-05,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,21
2012-06-06,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,22
2012-06-07,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,23
2012-06-08,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,24
2012-06-11,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,25
2012-06-12,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,26
2012-06-13,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,27
2012-06-14,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,28
2012-06-15,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,29
2012-06-18,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,30
2012-06-19,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,31
2012-06-20,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,32
2012-06-21,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,33
2012-06-22,102.95999908447266,119.5999984741211,2012-05-07,78,2012-06-01,false,false,34
2012-06-25,53.040000915527344,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,true,35
2012-06-26,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,36
2012-06-27,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,37
2012-06-28,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,38
2012-06-29,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,39
2012-07-02,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,40
2012-07-03,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,41
2012-07-05,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,42
2012-07-06,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,43
2012-07-09,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,44
2012-07-10,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,45
2012-07-11,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,46
2012-07-12,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,47
2012-07-13,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,48
2012-07-16,93.5999984741211,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,49
2012-07-17,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,50
2012-07-18,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,51
2012-07-19,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,52
2012-07-20,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,53
2012-07-23,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,54
2012-07-24,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,55
2012-07-25,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,56
2012-07-26,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,57
2012-07-27,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,58
2012-07-30,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,59
2012-07-31,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,60
2012-08-01,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,61
2012-08-02,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,62
2012-08-03,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,63
2012-08-06,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,64
2012-08-07,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,65
2012-08-08,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,66
2012-08-09,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,67
2012-08-10,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,68
2012-08-13,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,69
2012-08-14,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,70
2012-08-15,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,71
2012-08-16,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,72
2012-08-17,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,73
2012-08-20,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,74
2012-08-21,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,75
2012-08-22,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,76
2012-08-23,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,77
2012-08-24,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,78
2012-08-27,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,79
2012-08-28,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,80
2012-08-29,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,81
2012-08-30,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,82
2012-08-31,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,83
2012-09-04,105.04000091552734,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,84
2012-09-05,104,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,85
2012-09-06,104,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,86
2012-09-07,104,119.5999984741211,2012-05-07,53.040000915527344,2012-06-25,false,false,87
2012-09-10,30.15999984741211,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,true,88
2012-09-11,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,89
2012-09-12,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,90
2012-09-13,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,91
2012-09-14,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,92
2012-09-17,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,93
2012-09-18,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,94
2012-09-19,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,95
2012-09-20,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,96
2012-09-21,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,97
2012-09-24,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,98
2012-09-25,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,99
2012-09-26,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,100
2012-09-27,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,101
2012-09-28,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,102
2012-10-01,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,103
2012-10-02,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,104
2012-10-03,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,105
2012-10-04,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,106
2012-10-05,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,107
2012-10-08,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,108
2012-10-09,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,109
2012-10-10,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,110
2012-10-11,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,111
2012-10-12,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,112
2012-10-15,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,113
2012-10-16,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,114
2012-10-17,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,115
2012-10-18,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,116
2012-10-19,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,117
2012-10-22,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,118
2012-10-23,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,119
2012-10-24,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,120
2012-10-25,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,121
2012-10-26,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,122
2012-10-31,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,123
2012-11-01,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,124
2012-11-02,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,125
2012-11-05,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,126
2012-11-06,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,127
2012-11-07,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,128
2012-11-08,53.040000915527344,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,129
2012-11-09,53.040000915527344,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,130
2012-11-12,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,131
2012-11-13,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,132
2012-11-14,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,133
2012-11-15,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,134
2012-11-16,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,135
2012-11-19,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,136
2012-11-20,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,137
2012-11-21,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,138
2012-11-23,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,139
2012-11-26,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,140
2012-11-27,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,141
2012-11-28,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,142
2012-11-29,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,143
2012-11-30,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,144
2012-12-03,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,145
2012-12-04,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,146
2012-12-05,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,147
2012-12-06,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,148
2012-12-07,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,149
2012-12-10,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,150
2012-12-11,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,151
2012-12-12,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,152
2012-12-13,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,153
2012-12-14,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,154
2012-12-17,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,155
2012-12-18,53.040000915527344,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,156
2012-12-19,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,157
2012-12-20,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,158
2012-12-21,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,159
2012-12-24,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,160
2012-12-26,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,161
2012-12-27,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,162
2012-12-28,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,163
2012-12-31,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,164
2013-01-02,98.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,165
2013-01-03,76.95999908447266,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,166
2013-01-04,76.95999908447266,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,167
2013-01-07,76.95999908447266,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,168
2013-01-08,76.95999908447266,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,169
2013-01-09,76.95999908447266,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,170
2013-01-10,76.95999908447266,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,171
2013-01-11,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,172
2013-01-14,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,173
2013-01-15,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,174
2013-01-16,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,175
2013-01-17,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,176
2013-01-18,104,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,177
2013-01-22,72.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,178
2013-01-23,72.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,179
2013-01-24,72.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,180
2013-01-25,72.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,181
2013-01-28,72.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,182
2013-01-29,72.80000305175781,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,183
2013-01-30,97.76000213623047,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,184
2013-01-31,88.4000015258789,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,185
2013-02-01,88.4000015258789,119.5999984741211,2012-05-07,30.15999984741211,2012-09-10,false,false,186
2013-02-04,27.040000915527344,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,true,187
2013-02-05,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,188
2013-02-06,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,189
2013-02-07,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,190
2013-02-08,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,191
2013-02-11,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,192
2013-02-12,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,193
2013-02-13,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,194
2013-02-14,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,195
2013-02-15,78,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,196
2013-02-19,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,197
2013-02-20,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,198
2013-02-21,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,199
2013-02-22,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,200
2013-02-25,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,201
2013-02-26,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,202
2013-02-27,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,203
2013-02-28,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,204
2013-03-01,88.4000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,205
2013-03-04,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,206
2013-03-05,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,207
2013-03-06,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,208
2013-03-07,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,209
2013-03-08,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,210
2013-03-11,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,211
2013-03-12,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,212
2013-03-13,52,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,213
2013-03-14,50.959999084472656,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,214
2013-03-15,50.959999084472656,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,215
2013-03-18,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,216
2013-03-19,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,217
2013-03-20,31.200000762939453,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,218
2013-03-21,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,219
2013-03-22,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,220
2013-03-25,36.400001525878906,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,221
2013-03-26,40.560001373291016,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,222
2013-03-27,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,223
2013-03-28,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,224
2013-04-01,36.400001525878906,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,225
2013-04-02,40.560001373291016,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,226
2013-04-03,40.560001373291016,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,227
2013-04-04,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,228
2013-04-05,36.400001525878906,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,229
2013-04-08,36.400001525878906,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,230
2013-04-09,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,231
2013-04-10,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,232
2013-04-11,35.36000061035156,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,233
2013-04-12,39.52000045776367,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,234
2013-04-15,33.279998779296875,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,235
2013-04-16,40.560001373291016,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,236
2013-04-17,40.560001373291016,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,237
2013-04-18,35.36000061035156,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,238
2013-04-19,39.52000045776367,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,239
2013-04-22,39.52000045776367,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,240
2013-04-23,36.400001525878906,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,241
2013-04-24,38.47999954223633,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,242
2013-04-25,39.52000045776367,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,243
2013-04-26,37.439998626708984,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,244
2013-04-29,40.560001373291016,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,245
2013-04-30,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,246
2013-05-01,41.599998474121094,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,247
2013-05-02,48.880001068115234,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,248
2013-05-03,45.7599983215332,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,249
2013-05-06,47.84000015258789,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,249
2013-05-07,46.79999923706055,119.5999984741211,2012-05-07,27.040000915527344,2013-02-04,false,false,249
2013-05-08,47.84000015258789,107.12000274658203,2012-05-14,27.040000915527344,2013-02-04,false,false,249
2013-05-09,46.79999923706055,107.12000274658203,2012-05-14,27.040000915527344,2013-02-04,false,false,249
2013-05-10,46.79999923706055,107.12000274658203,2012-05-14,27.040000915527344,2013-02-04,false,false,249
2013-05-13,47.84000015258789,107.12000274658203,2012-05-14,27.040000915527344,2013-02-04,false,false,249
2013-05-14,46.79999923706055,107.12000274658203,2012-05-14,27.040000915527344,2013-02-04,false,false,249
2013-05-15,46.79999923706055,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-16,43.68000030517578,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-17,47.84000015258789,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-20,43.68000030517578,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-21,45.7599983215332,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-22,46.79999923706055,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-23,44.720001220703125,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-24,44.720001220703125,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-28,43.68000030517578,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
2013-05-29,42.63999938964844,105.04000091552734,2012-09-04,27.040000915527344,2013-02-04,false,false,249
