date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,242,242,1999-12-31,242,1999-12-31,true,true,0
2000-01-03,238,242,1999-12-31,238,2000-01-03,false,true,1
2000-01-04,216,242,1999-12-31,216,2000-01-04,false,true,2
2000-01-05,218.5,242,1999-12-31,216,2000-01-04,false,false,3
2000-01-06,218.5,242,1999-12-31,216,2000-01-04,false,false,4
2000-01-07,233.5,242,1999-12-31,216,2000-01-04,false,false,5
2000-01-10,235,242,1999-12-31,216,2000-01-04,false,false,6
2000-01-11,222,242,1999-12-31,216,2000-01-04,false,false,7
2000-01-12,210.5,242,1999-12-31,210.5,2000-01-12,false,true,8
2000-01-13,211,242,1999-12-31,210.5,2000-01-12,false,false,9
2000-01-14,220,242,1999-12-31,210.5,2000-01-12,false,false,10
2000-01-18,230,242,1999-12-31,210.5,2000-01-12,false,false,11
2000-01-19,225.5,242,1999-12-31,210.5,2000-01-12,false,false,12
2000-01-20,230,242,1999-12-31,210.5,2000-01-12,false,false,13
2000-01-21,232.5,242,1999-12-31,210.5,2000-01-12,false,false,14
2000-01-24,238,242,1999-12-31,210.5,2000-01-12,false,false,15
2000-01-25,237,242,1999-12-31,210.5,2000-01-12,false,false,16
2000-01-26,254,254,2000-01-26,210.5,2000-01-12,true,false,17
2000-01-27,277.5,277.5,2000-01-27,210.5,2000-01-12,true,false,18
2000-01-28,252,277.5,2000-01-27,210.5,2000-01-12,false,false,19
2000-01-31,229.5,277.5,2000-01-27,210.5,2000-01-12,false,false,20
2000-02-01,252,277.5,2000-01-27,210.5,2000-01-12,false,false,21
2000-02-02,251,277.5,2000-01-27,210.5,2000-01-12,false,false,22
2000-02-03,250,277.5,2000-01-27,210.5,2000-01-12,false,false,23
2000-02-04,255,277.5,2000-01-27,210.5,2000-01-12,false,false,24
2000-02-07,273.5,277.5,2000-01-27,210.5,2000-01-12,false,false,25
2000-02-08,284,284,2000-02-08,210.5,2000-01-12,true,false,26
2000-02-09,273,284,2000-02-08,210.5,2000-01-12,false,false,27
2000-02-10,274,284,2000-02-08,210.5,2000-01-12,false,false,28
2000-02-11,304,304,2000-02-11,210.5,2000-01-12,true,false,29
2000-02-14,378.5,378.5,2000-02-14,210.5,2000-01-12,true,false,30
2000-02-15,368,378.5,2000-02-14,210.5,2000-01-12,false,false,31
2000-02-16,429,429,2000-02-16,210.5,2000-01-12,true,false,32
2000-02-17,489,489,2000-02-17,210.5,2000-01-12,true,false,33
2000-02-18,435,489,2000-02-17,210.5,2000-01-12,false,false,34
2000-02-22,370.5,489,2000-02-17,210.5,2000-01-12,false,false,35
2000-02-23,372,489,2000-02-17,210.5,2000-01-12,false,false,36
2000-02-24,378,489,2000-02-17,210.5,2000-01-12,false,false,37
2000-02-25,422,489,2000-02-17,210.5,2000-01-12,false,false,38
2000-02-28,461,489,2000-02-17,210.5,2000-01-12,false,false,39
2000-02-29,512.5,512.5,2000-02-29,210.5,2000-01-12,true,false,40
2000-03-01,480,512.5,2000-02-29,210.5,2000-01-12,false,false,41
2000-03-02,454.5,512.5,2000-02-29,210.5,2000-01-12,false,false,42
2000-03-03,467,512.5,2000-02-29,210.5,2000-01-12,false,false,43
2000-03-06,486,512.5,2000-02-29,210.5,2000-01-12,false,false,44
2000-03-07,473,512.5,2000-02-29,210.5,2000-01-12,false,false,45
2000-03-08,448,512.5,2000-02-29,210.5,2000-01-12,false,false,46
