date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2021-02-03,70.81999969482422,70.81999969482422,2021-02-03,70.81999969482422,2021-02-03,true,true,0
2021-02-04,67.25,70.81999969482422,2021-02-03,67.25,2021-02-04,false,true,1
2021-02-05,69,70.81999969482422,2021-02-03,67.25,2021-02-04,false,false,2
2021-02-08,72.72000122070312,72.72000122070312,2021-02-08,67.25,2021-02-04,true,false,3
2021-02-09,74.5,74.5,2021-02-09,67.25,2021-02-04,true,false,4
2021-02-10,70.4800033569336,74.5,2021-02-09,67.25,2021-02-04,false,false,5
2021-02-11,68.0199966430664,74.5,2021-02-09,67.25,2021-02-04,false,false,6
2021-02-12,65,74.5,2021-02-09,65,2021-02-12,false,true,7
2021-02-16,66.69999694824219,74.5,2021-02-09,65,2021-02-12,false,false,8
2021-02-17,66.4000015258789,74.5,2021-02-09,65,2021-02-12,false,false,9
2021-02-18,64.98999786376953,74.5,2021-02-09,64.98999786376953,2021-02-18,false,true,10
2021-02-19,67.5199966430664,74.5,2021-02-09,64.98999786376953,2021-02-18,false,false,11
2021-02-22,61.59000015258789,74.5,2021-02-09,61.59000015258789,2021-02-22,false,true,12
2021-02-23,56,74.5,2021-02-09,56,2021-02-23,false,true,13
2021-02-24,55.849998474121094,74.5,2021-02-09,55.849998474121094,2021-02-24,false,true,14
2021-02-25,55.2599983215332,74.5,2021-02-09,55.2599983215332,2021-02-25,false,true,15
2021-02-26,56.560001373291016,74.5,2021-02-09,55.2599983215332,2021-02-25,false,false,16
2021-03-01,63.400001525878906,74.5,2021-02-09,55.2599983215332,2021-02-25,false,false,17
2021-03-02,62.33000183105469,74.5,2021-02-09,55.2599983215332,2021-02-25,false,false,18
2021-03-03,55.63999938964844,74.5,2021-02-09,55.2599983215332,2021-02-25,false,false,19
2021-03-04,49.459999084472656,74.5,2021-02-09,49.459999084472656,2021-03-04,false,true,20
2021-03-05,49.25,74.5,2021-02-09,49.25,2021-03-05,false,true,21
2021-03-08,51.56999969482422,74.5,2021-02-09,49.25,2021-03-05,false,false,22
2021-03-09,55.40999984741211,74.5,2021-02-09,49.25,2021-03-05,false,false,23
2021-03-10,52.68000030517578,74.5,2021-02-09,49.25,2021-03-05,false,false,24
2021-03-11,56.16999816894531,74.5,2021-02-09,49.25,2021-03-05,false,false,25
2021-03-12,55.88999938964844,74.5,2021-02-09,49.25,2021-03-05,false,false,26
2021-03-15,57.130001068115234,74.5,2021-02-09,49.25,2021-03-05,false,false,27
2021-03-16,54.709999084472656,74.5,2021-02-09,49.25,2021-03-05,false,false,28
2021-03-17,53.220001220703125,74.5,2021-02-09,49.25,2021-03-05,false,false,29
2021-03-18,53.52000045776367,74.5,2021-02-09,49.25,2021-03-05,false,false,30
