date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2005-11-10,127,127,2005-11-10,127,2005-11-10,true,true,0
2005-11-11,127,127,2005-11-11,127,2005-11-11,true,true,1
2005-11-14,130,130,2005-11-14,127,2005-11-11,true,false,2
2005-11-15,127,130,2005-11-14,127,2005-11-15,false,true,3
2005-11-16,130,130,2005-11-16,127,2005-11-15,true,false,4
2005-11-17,122,130,2005-11-16,122,2005-11-17,false,true,5
2005-11-18,129,130,2005-11-16,122,2005-11-17,false,false,6
2005-11-21,130,130,2005-11-21,122,2005-11-17,true,false,7
2005-11-22,137,137,2005-11-22,122,2005-11-17,true,false,8
2005-11-23,137,137,2005-11-23,122,2005-11-17,true,false,9
2005-11-25,136,137,2005-11-23,122,2005-11-17,false,false,10
2005-11-28,135,137,2005-11-23,122,2005-11-17,false,false,11
2005-11-29,135,137,2005-11-23,122,2005-11-17,false,false,12
2005-11-30,135,137,2005-11-23,122,2005-11-17,false,false,13
2005-12-01,130,137,2005-11-23,122,2005-11-17,false,false,14
2005-12-02,131,137,2005-11-23,122,2005-11-17,false,false,15
2005-12-05,135,137,2005-11-23,122,2005-11-17,false,false,16
2005-12-06,130,137,2005-11-23,122,2005-11-17,false,false,17
2005-12-07,132,137,2005-11-23,122,2005-11-17,false,false,18
2005-12-08,127,137,2005-11-23,122,2005-11-17,false,false,19
2005-12-09,128,137,2005-11-23,122,2005-11-17,false,false,20
2005-12-12,138,138,2005-12-12,122,2005-11-17,true,false,21
2005-12-13,135,138,2005-12-12,122,2005-11-17,false,false,22
2005-12-14,138,138,2005-12-14,122,2005-11-17,true,false,23
2005-12-15,136,138,2005-12-14,122,2005-11-17,false,false,24
2005-12-16,130,138,2005-12-14,122,2005-11-17,false,false,25
2005-12-19,130,138,2005-12-14,122,2005-11-17,false,false,26
2005-12-20,128,138,2005-12-14,122,2005-11-17,false,false,27
2005-12-21,130,138,2005-12-14,122,2005-11-17,false,false,28
2005-12-22,132,138,2005-12-14,122,2005-11-17,false,false,29
2005-12-23,128,138,2005-12-14,122,2005-11-17,false,false,30
2005-12-27,125,138,2005-12-14,122,2005-11-17,false,false,31
2005-12-28,135,138,2005-12-14,122,2005-11-17,false,false,32
