date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2019-04-17,18.989999771118164,18.989999771118164,2019-04-17,18.989999771118164,2019-04-17,true,true,0
2019-04-18,18.5,18.989999771118164,2019-04-17,18.5,2019-04-18,false,true,1
2019-04-22,18.790000915527344,18.989999771118164,2019-04-17,18.5,2019-04-18,false,false,2
2019-04-23,19.489999771118164,19.489999771118164,2019-04-23,18.5,2019-04-18,true,false,3
2019-04-24,18.979999542236328,19.489999771118164,2019-04-23,18.5,2019-04-18,false,false,4
2019-04-25,19.110000610351562,19.489999771118164,2019-04-23,18.5,2019-04-18,false,false,5
2019-04-26,19.15999984741211,19.489999771118164,2019-04-23,18.5,2019-04-18,false,false,6
2019-04-29,19.979999542236328,19.979999542236328,2019-04-29,18.5,2019-04-18,true,false,7
2019-04-30,19.979999542236328,19.979999542236328,2019-04-30,18.5,2019-04-18,true,false,8
2019-05-01,20,20,2019-05-01,18.5,2019-04-18,true,false,9
2019-05-02,19.8799991607666,20,2019-05-01,18.5,2019-04-18,false,false,10
2019-05-03,19.889999389648438,20,2019-05-01,18.5,2019-04-18,false,false,11
2019-05-06,19.799999237060547,20,2019-05-01,18.5,2019-04-18,false,false,12
2019-05-07,19.389999389648438,20,2019-05-01,18.5,2019-04-18,false,false,13
2019-05-08,19.649999618530273,20,2019-05-01,18.5,2019-04-18,false,false,14
2019-05-09,19.290000915527344,20,2019-05-01,18.5,2019-04-18,false,false,15
2019-05-10,19.110000610351562,20,2019-05-01,18.5,2019-04-18,false,false,16
2019-05-13,19.329999923706055,20,2019-05-01,18.5,2019-04-18,false,false,17
2019-05-14,20,20,2019-05-14,18.5,2019-04-18,true,false,18
2019-05-15,20.190000534057617,20.190000534057617,2019-05-15,18.5,2019-04-18,true,false,19
2019-05-16,19.770000457763672,20.190000534057617,2019-05-15,18.5,2019-04-18,false,false,20
2019-05-17,22.299999237060547,22.299999237060547,2019-05-17,18.5,2019-04-18,true,false,21
2019-05-20,23.3799991607666,23.3799991607666,2019-05-20,18.5,2019-04-18,true,false,22
2019-05-21,23.459999084472656,23.459999084472656,2019-05-21,18.5,2019-04-18,true,false,23
2019-05-22,23.6200008392334,23.6200008392334,2019-05-22,18.5,2019-04-18,true,false,24
