date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2011-08-02,8.78736400604248,8.78736400604248,2011-08-02,8.78736400604248,2011-08-02,true,true,0
2011-08-03,8.796625137329102,8.796625137329102,2011-08-03,8.78736400604248,2011-08-02,true,false,1
2011-08-04,8.796625137329102,8.796625137329102,2011-08-04,8.78736400604248,2011-08-02,true,false,2
2011-08-05,8.796625137329102,8.796625137329102,2011-08-05,8.78736400604248,2011-08-02,true,false,3
2011-08-08,8.796625137329102,8.796625137329102,2011-08-08,8.78736400604248,2011-08-02,true,false,4
2011-08-09,8.796625137329102,8.796625137329102,2011-08-09,8.78736400604248,2011-08-02,true,false,5
2011-08-10,8.796625137329102,8.796625137329102,2011-08-10,8.78736400604248,2011-08-02,true,false,6
2011-08-11,8.796625137329102,8.796625137329102,2011-08-11,8.78736400604248,2011-08-02,true,false,7
2011-08-12,8.796625137329102,8.796625137329102,2011-08-12,8.78736400604248,2011-08-02,true,false,8
2011-08-15,8.796625137329102,8.796625137329102,2011-08-15,8.78736400604248,2011-08-02,true,false,9
2011-08-16,8.796625137329102,8.796625137329102,2011-08-16,8.78736400604248,2011-08-02,true,false,10
2011-08-17,8.796625137329102,8.796625137329102,2011-08-17,8.78736400604248,2011-08-02,true,false,11
2011-08-18,8.796625137329102,8.796625137329102,2011-08-18,8.78736400604248,2011-08-02,true,false,12
2011-08-19,8.796625137329102,8.796625137329102,2011-08-19,8.78736400604248,2011-08-02,true,false,13
2011-08-22,8.796625137329102,8.796625137329102,2011-08-22,8.78736400604248,2011-08-02,true,false,14
2011-08-23,8.796625137329102,8.796625137329102,2011-08-23,8.78736400604248,2011-08-02,true,false,15
2011-08-24,8.796625137329102,8.796625137329102,2011-08-24,8.78736400604248,2011-08-02,true,false,16
2011-08-25,8.796625137329102,8.796625137329102,2011-08-25,8.78736400604248,2011-08-02,true,false,17
2011-08-26,8.796625137329102,8.796625137329102,2011-08-26,8.78736400604248,2011-08-02,true,false,18
2011-08-29,8.796625137329102,8.796625137329102,2011-08-29,8.78736400604248,2011-08-02,true,false,19
2011-08-30,8.796625137329102,8.796625137329102,2011-08-30,8.78736400604248,2011-08-02,true,false,20
