date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2000-11-29,63.984375,63.984375,2000-11-29,63.984375,2000-11-29,true,true,0
2000-11-30,63.5625,63.984375,2000-11-29,63.5625,2000-11-30,false,true,1
2000-12-01,66.375,66.375,2000-12-01,63.5625,2000-11-30,true,false,2
2000-12-04,67.5,67.5,2000-12-04,63.5625,2000-11-30,true,false,3
2000-12-05,69.1875,69.1875,2000-12-05,63.5625,2000-11-30,true,false,4
2000-12-06,67.5,69.1875,2000-12-05,63.5625,2000-11-30,false,false,5
2000-12-07,65.53125,69.1875,2000-12-05,63.5625,2000-11-30,false,false,6
2000-12-08,66.375,69.1875,2000-12-05,63.5625,2000-11-30,false,false,7
2000-12-11,75.375,75.375,2000-12-11,63.5625,2000-11-30,true,false,8
2000-12-12,79.3125,79.3125,2000-12-12,63.5625,2000-11-30,true,false,9
2000-12-13,70.875,79.3125,2000-12-12,63.5625,2000-11-30,false,false,10
2000-12-14,70.875,79.3125,2000-12-12,63.5625,2000-11-30,false,false,11
2000-12-15,68.0625,79.3125,2000-12-12,63.5625,2000-11-30,false,false,12
2000-12-18,66.375,79.3125,2000-12-12,63.5625,2000-11-30,false,false,13
2000-12-19,66.375,79.3125,2000-12-12,63.5625,2000-11-30,false,false,14
2000-12-20,63,79.3125,2000-12-12,63,2000-12-20,false,true,15
2000-12-21,64.125,79.3125,2000-12-12,63,2000-12-20,false,false,16
2000-12-22,66.375,79.3125,2000-12-12,63,2000-12-20,false,false,17
2000-12-26,72,79.3125,2000-12-12,63,2000-12-20,false,false,18
2000-12-27,81,81,2000-12-27,63,2000-12-20,true,false,19
2000-12-28,82.125,82.125,2000-12-28,63,2000-12-20,true,false,20
2000-12-29,90,90,2000-12-29,63,2000-12-20,true,false,21
2001-01-02,102.375,102.375,2001-01-02,63,2000-12-20,true,false,22
2001-01-03,106.875,106.875,2001-01-03,63,2000-12-20,true,false,23
2001-01-04,97.875,106.875,2001-01-03,63,2000-12-20,false,false,24
2001-01-05,98.4375,106.875,2001-01-03,63,2000-12-20,false,false,25
2001-01-08,88.875,106.875,2001-01-03,63,2000-12-20,false,false,26
2001-01-09,75.65625,106.875,2001-01-03,63,2000-12-20,false,false,27
2001-01-10,78.75,106.875,2001-01-03,63,2000-12-20,false,false,28
2001-01-11,77.0625,106.875,2001-01-03,63,2000-12-20,false,false,29
2001-01-12,81,106.875,2001-01-03,63,2000-12-20,false,false,30
2001-01-16,82.125,106.875,2001-01-03,63,2000-12-20,false,false,31
2001-01-17,79.875,106.875,2001-01-03,63,2000-12-20,false,false,32
2001-01-18,72.5625,106.875,2001-01-03,63,2000-12-20,false,false,33
