date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2015-08-28,9.75,9.75,2015-08-28,9.75,2015-08-28,true,true,0
2015-08-31,9.75,9.75,2015-08-31,9.75,2015-08-31,true,true,1
2015-09-01,9.75,9.75,2015-09-01,9.75,2015-09-01,true,true,2
2015-09-02,9.75,9.75,2015-09-02,9.75,2015-09-02,true,true,3
2015-09-03,9.75,9.75,2015-09-03,9.75,2015-09-03,true,true,4
2015-09-04,9.75,9.75,2015-09-04,9.75,2015-09-04,true,true,5
2015-09-08,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-08,false,true,6
2015-09-09,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-09,false,true,7
2015-09-10,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-10,false,true,8
2015-09-11,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-11,false,true,9
2015-09-14,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-14,false,true,10
2015-09-15,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-15,false,true,11
2015-09-16,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-16,false,true,12
2015-09-17,9.699999809265137,9.75,2015-09-04,9.699999809265137,2015-09-17,false,true,13
2015-09-18,9.609999656677246,9.75,2015-09-04,9.609999656677246,2015-09-18,false,true,14
2015-09-21,9.609999656677246,9.75,2015-09-04,9.609999656677246,2015-09-21,false,true,15
2015-09-22,9.600000381469727,9.75,2015-09-04,9.600000381469727,2015-09-22,false,true,16
2015-09-23,9.600000381469727,9.75,2015-09-04,9.600000381469727,2015-09-23,false,true,17
2015-09-24,9.699999809265137,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,18
2015-09-25,9.640000343322754,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,19
2015-09-28,9.649999618530273,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,20
2015-09-29,9.649999618530273,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,21
2015-09-30,9.649999618530273,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,22
2015-10-01,9.649999618530273,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,23
2015-10-02,9.649999618530273,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,24
2015-10-05,9.649999618530273,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,25
2015-10-06,9.609999656677246,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,26
2015-10-07,9.609999656677246,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,27
2015-10-08,9.609999656677246,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,28
2015-10-09,9.609999656677246,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,29
2015-10-12,9.609999656677246,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,30
2015-10-13,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,31
2015-10-14,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,32
2015-10-15,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,33
2015-10-16,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,34
2015-10-19,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,35
2015-10-20,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,36
2015-10-21,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,37
2015-10-22,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,38
2015-10-23,9.630000114440918,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,39
2015-10-26,9.699999809265137,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,40
2015-10-27,9.699999809265137,9.75,2015-09-04,9.600000381469727,2015-09-23,false,false,41
2015-10-28,9.600000381469727,9.75,2015-09-04,9.600000381469727,2015-10-28,false,true,42
2015-10-29,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-10-29,false,true,43
2015-10-30,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-10-30,false,true,44
2015-11-02,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-11-02,false,true,45
2015-11-03,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-11-03,false,true,46
2015-11-04,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-11-04,false,true,47
2015-11-05,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-11-05,false,true,48
2015-11-06,9.5600004196167,9.75,2015-09-04,9.5600004196167,2015-11-06,false,true,49
2015-11-09,9.75,9.75,2015-11-09,9.5600004196167,2015-11-06,true,false,50
2015-11-10,9.75,9.75,2015-11-10,9.5600004196167,2015-11-06,true,false,51
2015-11-11,9.75,9.75,2015-11-11,9.5600004196167,2015-11-06,true,false,52
2015-11-12,9.75,9.75,2015-11-12,9.5600004196167,2015-11-06,true,false,53
2015-11-13,9.75,9.75,2015-11-13,9.5600004196167,2015-11-06,true,false,54
2015-11-16,9.75,9.75,2015-11-16,9.5600004196167,2015-11-06,true,false,55
2015-11-17,9.630000114440918,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,56
2015-11-18,9.600000381469727,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,57
2015-11-19,9.609999656677246,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,58
2015-11-20,9.609999656677246,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,59
2015-11-23,9.609999656677246,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,60
2015-11-24,9.600000381469727,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,61
2015-11-25,9.600000381469727,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,62
2015-11-27,9.600000381469727,9.75,2015-11-16,9.5600004196167,2015-11-06,false,false,63
2015-11-30,9.770000457763672,9.770000457763672,2015-11-30,9.5600004196167,2015-11-06,true,false,64
2015-12-01,9.770000457763672,9.770000457763672,2015-12-01,9.5600004196167,2015-11-06,true,false,65
2015-12-02,9.770000457763672,9.770000457763672,2015-12-02,9.5600004196167,2015-11-06,true,false,66
2015-12-03,9.770000457763672,9.770000457763672,2015-12-03,9.5600004196167,2015-11-06,true,false,67
2015-12-04,9.770000457763672,9.770000457763672,2015-12-04,9.5600004196167,2015-11-06,true,false,68
2015-12-07,9.770000457763672,9.770000457763672,2015-12-07,9.5600004196167,2015-11-06,true,false,69
2015-12-08,9.770000457763672,9.770000457763672,2015-12-08,9.5600004196167,2015-11-06,true,false,70
2015-12-09,9.770000457763672,9.770000457763672,2015-12-09,9.5600004196167,2015-11-06,true,false,71
2015-12-10,9.770000457763672,9.770000457763672,2015-12-10,9.5600004196167,2015-11-06,true,false,72
2015-12-11,9.770000457763672,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,true,false,73
2015-12-14,9.609999656677246,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,74
2015-12-15,9.579999923706055,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,75
2015-12-16,9.579999923706055,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,76
2015-12-17,9.579999923706055,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,77
2015-12-18,9.569999694824219,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,78
2015-12-21,9.569999694824219,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,79
2015-12-22,9.609999656677246,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,80
2015-12-23,9.609999656677246,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,81
2015-12-24,9.609999656677246,9.770000457763672,2015-12-11,9.5600004196167,2015-11-06,false,false,82
2015-12-28,9.510000228881836,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,true,83
2015-12-29,9.59000015258789,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,84
2015-12-30,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,85
2015-12-31,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,86
2016-01-04,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,87
2016-01-05,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,88
2016-01-06,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,89
2016-01-07,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,90
2016-01-08,9.649999618530273,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,91
2016-01-11,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,92
2016-01-12,9.609999656677246,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,93
2016-01-13,9.600000381469727,9.770000457763672,2015-12-11,9.510000228881836,2015-12-28,false,false,94
2016-01-14,9.789999961853027,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,true,false,95
2016-01-15,9.59000015258789,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,96
2016-01-19,9.569999694824219,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,97
2016-01-20,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,98
2016-01-21,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,99
2016-01-22,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,100
2016-01-25,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,101
2016-01-26,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,102
2016-01-27,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,103
2016-01-28,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,104
2016-01-29,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,105
2016-02-01,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,106
2016-02-02,9.680000305175781,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,107
2016-02-03,9.680000305175781,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,108
2016-02-04,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,109
2016-02-05,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,110
2016-02-08,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,111
2016-02-09,9.649999618530273,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,112
2016-02-10,9.600000381469727,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,113
2016-02-11,9.600000381469727,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,114
2016-02-12,9.675000190734863,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,115
2016-02-16,9.675000190734863,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,116
2016-02-17,9.675000190734863,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,117
2016-02-18,9.579999923706055,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,118
2016-02-19,9.579999923706055,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,119
2016-02-22,9.670000076293945,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,120
2016-02-23,9.670000076293945,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,121
2016-02-24,9.75,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,122
2016-02-25,9.739999771118164,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,123
2016-02-26,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,124
2016-02-29,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,125
2016-03-01,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,126
2016-03-02,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,127
2016-03-03,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,128
2016-03-04,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,129
2016-03-07,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,130
2016-03-08,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,131
2016-03-09,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,132
2016-03-10,9.699999809265137,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,133
2016-03-11,9.75,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,134
2016-03-14,9.75,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,135
2016-03-15,9.75,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,136
2016-03-16,9.75,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,137
2016-03-17,9.710000038146973,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,138
2016-03-18,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,139
2016-03-21,9.720000267028809,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,140
2016-03-22,9.6899995803833,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,141
2016-03-23,9.6899995803833,9.789999961853027,2016-01-14,9.510000228881836,2015-12-28,false,false,142
