date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2013-01-14,480,480,2013-01-14,480,2013-01-14,true,true,0
2013-01-15,495,495,2013-01-15,480,2013-01-14,true,false,1
2013-01-16,495,495,2013-01-16,480,2013-01-14,true,false,2
2013-01-17,465,495,2013-01-16,465,2013-01-17,false,true,3
2013-01-18,510,510,2013-01-18,465,2013-01-17,true,false,4
2013-01-22,600,600,2013-01-22,465,2013-01-17,true,false,5
2013-01-23,675,675,2013-01-23,465,2013-01-17,true,false,6
2013-01-24,750,750,2013-01-24,465,2013-01-17,true,false,7
2013-01-25,675,750,2013-01-24,465,2013-01-17,false,false,8
2013-01-28,675,750,2013-01-24,465,2013-01-17,false,false,9
2013-01-29,600,750,2013-01-24,465,2013-01-17,false,false,10
2013-01-30,600,750,2013-01-24,465,2013-01-17,false,false,11
2013-01-31,600,750,2013-01-24,465,2013-01-17,false,false,12
2013-02-01,600,750,2013-01-24,465,2013-01-17,false,false,13
2013-02-04,600,750,2013-01-24,465,2013-01-17,false,false,14
2013-02-05,600,750,2013-01-24,465,2013-01-17,false,false,15
2013-02-06,660,750,2013-01-24,465,2013-01-17,false,false,16
2013-02-07,660,750,2013-01-24,465,2013-01-17,false,false,17
2013-02-08,660,750,2013-01-24,465,2013-01-17,false,false,18
2013-02-11,525,750,2013-01-24,465,2013-01-17,false,false,19
2013-02-12,480,750,2013-01-24,465,2013-01-17,false,false,20
2013-02-13,480,750,2013-01-24,465,2013-01-17,false,false,21
2013-02-14,480,750,2013-01-24,465,2013-01-17,false,false,22
2013-02-15,480,750,2013-01-24,465,2013-01-17,false,false,23
2013-02-19,615,750,2013-01-24,465,2013-01-17,false,false,24
2013-02-20,615,750,2013-01-24,465,2013-01-17,false,false,25
2013-02-21,600,750,2013-01-24,465,2013-01-17,false,false,26
2013-02-22,540,750,2013-01-24,465,2013-01-17,false,false,27
2013-02-25,540,750,2013-01-24,465,2013-01-17,false,false,28
2013-02-26,510,750,2013-01-24,465,2013-01-17,false,false,29
2013-02-27,483,750,2013-01-24,465,2013-01-17,false,false,30
2013-02-28,480,750,2013-01-24,465,2013-01-17,false,false,31
2013-03-01,465,750,2013-01-24,465,2013-03-01,false,true,32
2013-03-04,495,750,2013-01-24,465,2013-03-01,false,false,33
2013-03-05,480,750,2013-01-24,465,2013-03-01,false,false,34
2013-03-06,453,750,2013-01-24,453,2013-03-06,false,true,35
2013-03-07,471,750,2013-01-24,453,2013-03-06,false,false,36
2013-03-08,447,750,2013-01-24,447,2013-03-08,false,true,37
2013-03-11,447,750,2013-01-24,447,2013-03-11,false,true,38
2013-03-12,435,750,2013-01-24,435,2013-03-12,false,true,39
2013-03-13,378,750,2013-01-24,378,2013-03-13,false,true,40
2013-03-14,450,750,2013-01-24,378,2013-03-13,false,false,41
2013-03-15,477,750,2013-01-24,378,2013-03-13,false,false,42
2013-03-18,474,750,2013-01-24,378,2013-03-13,false,false,43
2013-03-19,465,750,2013-01-24,378,2013-03-13,false,false,44
2013-03-20,435,750,2013-01-24,378,2013-03-13,false,false,45
2013-03-21,405,750,2013-01-24,378,2013-03-13,false,false,46
2013-03-22,420,750,2013-01-24,378,2013-03-13,false,false,47
2013-03-25,435,750,2013-01-24,378,2013-03-13,false,false,48
2013-03-26,429,750,2013-01-24,378,2013-03-13,false,false,49
2013-03-27,384,750,2013-01-24,378,2013-03-13,false,false,50
2013-03-28,420,750,2013-01-24,378,2013-03-13,false,false,51
2013-04-01,420,750,2013-01-24,378,2013-03-13,false,false,52
2013-04-02,375,750,2013-01-24,375,2013-04-02,false,true,53
2013-04-03,390,750,2013-01-24,375,2013-04-02,false,false,54
2013-04-04,405,750,2013-01-24,375,2013-04-02,false,false,55
2013-04-05,405,750,2013-01-24,375,2013-04-02,false,false,56
2013-04-08,306,750,2013-01-24,306,2013-04-08,false,true,57
2013-04-09,354,750,2013-01-24,306,2013-04-08,false,false,58
2013-04-10,369,750,2013-01-24,306,2013-04-08,false,false,59
2013-04-11,369,750,2013-01-24,306,2013-04-08,false,false,60
2013-04-12,360,750,2013-01-24,306,2013-04-08,false,false,61
2013-04-15,345,750,2013-01-24,306,2013-04-08,false,false,62
2013-04-16,360,750,2013-01-24,306,2013-04-08,false,false,63
2013-04-17,360,750,2013-01-24,306,2013-04-08,false,false,64
2013-04-18,360,750,2013-01-24,306,2013-04-08,false,false,65
2013-04-19,375,750,2013-01-24,306,2013-04-08,false,false,66
2013-04-22,354,750,2013-01-24,306,2013-04-08,false,false,67
2013-04-23,354,750,2013-01-24,306,2013-04-08,false,false,68
2013-04-24,351,750,2013-01-24,306,2013-04-08,false,false,69
2013-04-25,345,750,2013-01-24,306,2013-04-08,false,false,70
2013-04-26,339,750,2013-01-24,306,2013-04-08,false,false,71
2013-04-29,339,750,2013-01-24,306,2013-04-08,false,false,72
2013-04-30,300,750,2013-01-24,300,2013-04-30,false,true,73
2013-05-01,345,750,2013-01-24,300,2013-04-30,false,false,74
2013-05-02,345,750,2013-01-24,300,2013-04-30,false,false,75
2013-05-03,327,750,2013-01-24,300,2013-04-30,false,false,76
2013-05-06,321,750,2013-01-24,300,2013-04-30,false,false,77
2013-05-07,324,750,2013-01-24,300,2013-04-30,false,false,78
2013-05-08,324,750,2013-01-24,300,2013-04-30,false,false,79
2013-05-09,303,750,2013-01-24,300,2013-04-30,false,false,80
2013-05-10,315,750,2013-01-24,300,2013-04-30,false,false,81
2013-05-13,246.60000610351562,750,2013-01-24,246.60000610351562,2013-05-13,false,true,82
2013-05-14,309,750,2013-01-24,246.60000610351562,2013-05-13,false,false,83
2013-05-15,306,750,2013-01-24,246.60000610351562,2013-05-13,false,false,84
2013-05-16,300,750,2013-01-24,246.60000610351562,2013-05-13,false,false,85
2013-05-17,300,750,2013-01-24,246.60000610351562,2013-05-13,false,false,86
2013-05-20,303,750,2013-01-24,246.60000610351562,2013-05-13,false,false,87
