date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,24.75,24.75,1999-12-31,24.75,1999-12-31,true,true,0
2000-01-03,26.5,26.5,2000-01-03,24.75,1999-12-31,true,false,1
2000-01-04,24.78125,26.5,2000-01-03,24.75,1999-12-31,false,false,2
2000-01-05,23.96875,26.5,2000-01-03,23.96875,2000-01-05,false,true,3
2000-01-06,24.5546875,26.5,2000-01-03,23.96875,2000-01-05,false,false,4
2000-01-07,24.71875,26.5,2000-01-03,23.96875,2000-01-05,false,false,5
2000-01-10,26.0625,26.5,2000-01-03,23.96875,2000-01-05,false,false,6
2000-01-11,27.0625,27.0625,2000-01-11,23.96875,2000-01-05,true,false,7
2000-01-12,26,27.0625,2000-01-11,23.96875,2000-01-05,false,false,8
2000-01-13,25.65625,27.0625,2000-01-11,23.96875,2000-01-05,false,false,9
2000-01-14,25.90625,27.0625,2000-01-11,23.96875,2000-01-05,false,false,10
2000-01-18,26.125,27.0625,2000-01-11,23.96875,2000-01-05,false,false,11
2000-01-19,25.640625,27.0625,2000-01-11,23.96875,2000-01-05,false,false,12
2000-01-20,25.9375,27.0625,2000-01-11,23.96875,2000-01-05,false,false,13
2000-01-21,27.21875,27.21875,2000-01-21,23.96875,2000-01-05,true,false,14
2000-01-24,27.3125,27.3125,2000-01-24,23.96875,2000-01-05,true,false,15
2000-01-25,26.71875,27.3125,2000-01-24,23.96875,2000-01-05,false,false,16
2000-01-26,26.75,27.3125,2000-01-24,23.96875,2000-01-05,false,false,17
2000-01-27,27.46875,27.46875,2000-01-27,23.96875,2000-01-05,true,false,18
2000-01-28,27.234375,27.46875,2000-01-27,23.96875,2000-01-05,false,false,19
2000-01-31,27.875,27.875,2000-01-31,23.96875,2000-01-05,true,false,20
2000-02-01,29.5,29.5,2000-02-01,23.96875,2000-01-05,true,false,21
2000-02-02,28.875,29.5,2000-02-01,23.96875,2000-01-05,false,false,22
2000-02-03,29,29.5,2000-02-01,23.96875,2000-01-05,false,false,23
2000-02-04,29.34375,29.5,2000-02-01,23.96875,2000-01-05,false,false,24
2000-02-07,30.625,30.625,2000-02-07,23.96875,2000-01-05,true,false,25
2000-02-08,33.6875,33.6875,2000-02-08,23.96875,2000-01-05,true,false,26
2000-02-09,34.78125,34.78125,2000-02-09,23.96875,2000-01-05,true,false,27
2000-02-10,33.59375,34.78125,2000-02-09,23.96875,2000-01-05,false,false,28
2000-02-11,32.4375,34.78125,2000-02-09,23.96875,2000-01-05,false,false,29
2000-02-14,31.8125,34.78125,2000-02-09,23.96875,2000-01-05,false,false,30
2000-02-15,32.171875,34.78125,2000-02-09,23.96875,2000-01-05,false,false,31
2000-02-16,32.03125,34.78125,2000-02-09,23.96875,2000-01-05,false,false,32
2000-02-17,30.953125,34.78125,2000-02-09,23.96875,2000-01-05,false,false,33
2000-02-18,30.375,34.78125,2000-02-09,23.96875,2000-01-05,false,false,34
2000-02-22,32.46875,34.78125,2000-02-09,23.96875,2000-01-05,false,false,35
2000-02-23,33.375,34.78125,2000-02-09,23.96875,2000-01-05,false,false,36
2000-02-24,33.34375,34.78125,2000-02-09,23.96875,2000-01-05,false,false,37
2000-02-25,33.6875,34.78125,2000-02-09,23.96875,2000-01-05,false,false,38
2000-02-28,34.4375,34.78125,2000-02-09,23.96875,2000-01-05,false,false,39
2000-02-29,39.625,39.625,2000-02-29,23.96875,2000-01-05,true,false,40
2000-03-01,40.03125,40.03125,2000-03-01,23.96875,2000-01-05,true,false,41
2000-03-02,39.796875,40.03125,2000-03-01,23.96875,2000-01-05,false,false,42
2000-03-03,45,45,2000-03-03,23.96875,2000-01-05,true,false,43
2000-03-06,44.0625,45,2000-03-03,23.96875,2000-01-05,false,false,44
2000-03-07,42.28125,45,2000-03-03,23.96875,2000-01-05,false,false,45
2000-03-08,43.5,45,2000-03-03,23.96875,2000-01-05,false,false,46
2000-03-09,43.09375,45,2000-03-03,23.96875,2000-01-05,false,false,47
2000-03-10,43.375,45,2000-03-03,23.96875,2000-01-05,false,false,48
2000-03-13,42.90625,45,2000-03-03,23.96875,2000-01-05,false,false,49
2000-03-14,37.25,45,2000-03-03,23.96875,2000-01-05,false,false,50
2000-03-15,36.25,45,2000-03-03,23.96875,2000-01-05,false,false,51
2000-03-16,40.25,45,2000-03-03,23.96875,2000-01-05,false,false,52
2000-03-17,38.90625,45,2000-03-03,23.96875,2000-01-05,false,false,53
2000-03-20,30,45,2000-03-03,23.96875,2000-01-05,false,false,54
2000-03-21,38.03125,45,2000-03-03,23.96875,2000-01-05,false,false,55
2000-03-22,37.375,45,2000-03-03,23.96875,2000-01-05,false,false,56
2000-03-23,34.25,45,2000-03-03,23.96875,2000-01-05,false,false,57
2000-03-24,34.34375,45,2000-03-03,23.96875,2000-01-05,false,false,58
2000-03-27,35.46875,45,2000-03-03,23.96875,2000-01-05,false,false,59
2000-03-28,36.1875,45,2000-03-03,23.96875,2000-01-05,false,false,60
2000-03-29,35.21875,45,2000-03-03,23.96875,2000-01-05,false,false,61
2000-03-30,35.1875,45,2000-03-03,23.96875,2000-01-05,false,false,62
2000-03-31,35.9375,45,2000-03-03,23.96875,2000-01-05,false,false,63
2000-04-03,34.65625,45,2000-03-03,23.96875,2000-01-05,false,false,64
2000-04-04,32.34375,45,2000-03-03,23.96875,2000-01-05,false,false,65
2000-04-05,27.375,45,2000-03-03,23.96875,2000-01-05,false,false,66
2000-04-06,29,45,2000-03-03,23.96875,2000-01-05,false,false,67
2000-04-07,28.65625,45,2000-03-03,23.96875,2000-01-05,false,false,68
2000-04-10,26.03125,45,2000-03-03,23.96875,2000-01-05,false,false,69
2000-04-11,27.921875,45,2000-03-03,23.96875,2000-01-05,false,false,70
2000-04-12,26.75,45,2000-03-03,23.96875,2000-01-05,false,false,71
2000-04-13,26.96875,45,2000-03-03,23.96875,2000-01-05,false,false,72
2000-04-14,18,45,2000-03-03,18,2000-04-14,false,true,73
2000-04-17,17,45,2000-03-03,17,2000-04-17,false,true,74
2000-04-18,20.46875,45,2000-03-03,17,2000-04-17,false,false,75
2000-04-19,22.21875,45,2000-03-03,17,2000-04-17,false,false,76
2000-04-20,23.6875,45,2000-03-03,17,2000-04-17,false,false,77
2000-04-24,27.6875,45,2000-03-03,17,2000-04-17,false,false,78
2000-04-25,31.375,45,2000-03-03,17,2000-04-17,false,false,79
2000-04-26,28.28125,45,2000-03-03,17,2000-04-17,false,false,80
