date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
1999-12-31,1.3662240505218506,1.3662240505218506,1999-12-31,1.3662240505218506,1999-12-31,true,true,0
2000-01-03,1.4840019941329956,1.4840019941329956,2000-01-03,1.3662240505218506,1999-12-31,true,false,1
2000-01-04,1.4716360569000244,1.4840019941329956,2000-01-03,1.3662240505218506,1999-12-31,false,false,2
2000-01-05,1.4592690467834473,1.4840019941329956,2000-01-03,1.3662240505218506,1999-12-31,false,false,3
2000-01-06,1.4716360569000244,1.4840019941329956,2000-01-03,1.3662240505218506,1999-12-31,false,false,4
2000-01-07,1.4716360569000244,1.4840019941329956,2000-01-03,1.3662240505218506,1999-12-31,false,false,5
2000-01-10,1.4716360569000244,1.4840019941329956,2000-01-03,1.3662240505218506,1999-12-31,false,false,6
2000-01-11,1.4840019941329956,1.4840019941329956,2000-01-11,1.3662240505218506,1999-12-31,true,false,7
2000-01-12,1.4840019941329956,1.4840019941329956,2000-01-12,1.3662240505218506,1999-12-31,true,false,8
2000-01-13,1.4963690042495728,1.4963690042495728,2000-01-13,1.3662240505218506,1999-12-31,true,false,9
2000-01-14,1.4963690042495728,1.4963690042495728,2000-01-14,1.3662240505218506,1999-12-31,true,false,10
2000-01-18,1.4963690042495728,1.4963690042495728,2000-01-18,1.3662240505218506,1999-12-31,true,false,11
2000-01-19,1.4963690042495728,1.4963690042495728,2000-01-19,1.3662240505218506,1999-12-31,true,false,12
2000-01-20,1.5582020282745361,1.5582020282745361,2000-01-20,1.3662240505218506,1999-12-31,true,false,13
2000-01-21,1.5582020282745361,1.5582020282745361,2000-01-21,1.3662240505218506,1999-12-31,true,false,14
2000-01-24,1.5582020282745361,1.5582020282745361,2000-01-24,1.3662240505218506,1999-12-31,true,false,15
2000-01-25,1.5582020282745361,1.5582020282745361,2000-01-25,1.3662240505218506,1999-12-31,true,false,16
2000-01-26,1.5582020282745361,1.5582020282745361,2000-01-26,1.3662240505218506,1999-12-31,true,false,17
2000-01-27,1.4716360569000244,1.5582020282745361,2000-01-26,1.3662240505218506,1999-12-31,false,false,18
2000-01-28,1.4716360569000244,1.5582020282745361,2000-01-26,1.3662240505218506,1999-12-31,false,false,19
2000-01-31,1.4716360569000244,1.5582020282745361,2000-01-26,1.3662240505218506,1999-12-31,false,false,20
2000-02-01,1.5829360485076904,1.5829360485076904,2000-02-01,1.3662240505218506,1999-12-31,true,false,21
2000-02-02,1.5829360485076904,1.5829360485076904,2000-02-02,1.3662240505218506,1999-12-31,true,false,22
2000-02-03,1.5334689617156982,1.5829360485076904,2000-02-02,1.3662240505218506,1999-12-31,false,false,23
2000-02-04,1.7808029651641846,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,true,false,24
2000-02-07,1.6076689958572388,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,25
2000-02-08,1.6076689958572388,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,26
2000-02-09,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,27
2000-02-10,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,28
2000-02-11,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,29
2000-02-14,1.5829360485076904,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,30
2000-02-15,1.5829360485076904,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,31
2000-02-16,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,32
2000-02-17,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,33
2000-02-18,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,34
2000-02-22,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,35
2000-02-23,1.731335997581482,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,36
2000-02-24,1.731335997581482,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,37
2000-02-25,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,38
2000-02-28,1.632403016090393,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,39
2000-02-29,1.5334689617156982,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,40
2000-03-01,1.50873601436615,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,41
2000-03-02,1.50873601436615,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,42
2000-03-03,1.50873601436615,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,43
2000-03-06,1.50873601436615,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,44
2000-03-07,1.4840019941329956,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,45
2000-03-08,1.4840019941329956,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,46
2000-03-09,1.4840019941329956,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,47
2000-03-10,1.4840019941329956,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,48
2000-03-13,1.4592690467834473,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,49
2000-03-14,1.4592690467834473,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,50
2000-03-15,1.5582020282745361,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,51
2000-03-16,1.4345359802246094,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,52
2000-03-17,1.5582020282745361,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,53
2000-03-20,1.5582020282745361,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,54
2000-03-21,1.5582020282745361,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,55
2000-03-22,1.5582020282745361,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,56
2000-03-23,1.3850690126419067,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,57
2000-03-24,1.3850690126419067,1.7808029651641846,2000-02-04,1.3662240505218506,1999-12-31,false,false,58
2000-03-27,1.3603349924087524,1.7808029651641846,2000-02-04,1.3603349924087524,2000-03-27,false,true,59
2000-03-28,1.286134958267212,1.7808029651641846,2000-02-04,1.286134958267212,2000-03-28,false,true,60
2000-03-29,1.1377350091934204,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-29,false,true,61
2000-03-30,1.1377350091934204,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-30,false,true,62
2000-03-31,1.1377350091934204,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,true,63
2000-04-03,1.286134958267212,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,64
2000-04-04,1.286134958267212,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,65
2000-04-05,1.211935043334961,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,66
2000-04-06,1.211935043334961,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,67
2000-04-07,1.2366689443588257,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,68
2000-04-10,1.2366689443588257,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,69
2000-04-11,1.2366689443588257,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,70
2000-04-12,1.2366689443588257,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,71
2000-04-13,1.2366689443588257,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,72
2000-04-14,1.3850690126419067,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,73
2000-04-17,1.3850690126419067,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,74
2000-04-18,1.3850690126419067,1.7808029651641846,2000-02-04,1.1377350091934204,2000-03-31,false,false,75
2000-04-19,1.1377350091934204,1.7808029651641846,2000-02-04,1.1377350091934204,2000-04-19,false,true,76
2000-04-20,1.1130019426345825,1.7808029651641846,2000-02-04,1.1130019426345825,2000-04-20,false,true,77
2000-04-24,1.1130019426345825,1.7808029651641846,2000-02-04,1.1130019426345825,2000-04-24,false,true,78
2000-04-25,1.1377350091934204,1.7808029651641846,2000-02-04,1.1130019426345825,2000-04-24,false,false,79
2000-04-26,1.0635349750518799,1.7808029651641846,2000-02-04,1.0635349750518799,2000-04-26,false,true,80
