date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2013-03-27,4332.8115234375,4332.8115234375,2013-03-27,4332.8115234375,2013-03-27,true,true,0
2013-03-28,4332.8115234375,4332.8115234375,2013-03-28,4332.8115234375,2013-03-28,true,true,1
2013-04-01,3634.9091796875,4332.8115234375,2013-03-28,3634.9091796875,2013-04-01,false,true,2
2013-04-02,3925.70166015625,4332.8115234375,2013-03-28,3634.9091796875,2013-04-01,false,false,3
2013-04-03,4332.8115234375,4332.8115234375,2013-04-03,3634.9091796875,2013-04-01,true,false,4
2013-04-04,4361.89111328125,4361.89111328125,2013-04-04,3634.9091796875,2013-04-01,true,false,5
2013-04-05,4361.89111328125,4361.89111328125,2013-04-05,3634.9091796875,2013-04-01,true,false,6
2013-04-08,5815.85400390625,5815.85400390625,2013-04-08,3634.9091796875,2013-04-01,true,false,7
2013-04-09,4361.89111328125,5815.85400390625,2013-04-08,3634.9091796875,2013-04-01,false,false,8
2013-04-10,5815.85400390625,5815.85400390625,2013-04-10,3634.9091796875,2013-04-01,true,false,9
2013-04-11,5815.85400390625,5815.85400390625,2013-04-11,3634.9091796875,2013-04-01,true,false,10
2013-04-12,5815.85400390625,5815.85400390625,2013-04-12,3634.9091796875,2013-04-01,true,false,11
2013-04-15,6542.83642578125,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,true,false,12
2013-04-16,6513.7568359375,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,13
2013-04-17,6513.7568359375,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,14
2013-04-18,6106.64697265625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,15
2013-04-19,6397.43994140625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,16
2013-04-22,6397.43994140625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,17
2013-04-23,5815.85400390625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,18
2013-04-24,6106.64697265625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,19
2013-04-25,6106.64697265625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,20
2013-04-26,5088.873046875,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,21
2013-04-29,6106.64697265625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,22
2013-04-30,6106.64697265625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,23
2013-05-01,5088.873046875,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,24
2013-05-02,4798.080078125,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,25
2013-05-03,4943.4765625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,26
2013-05-06,5088.873046875,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,27
2013-05-07,4943.4765625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,28
2013-05-08,4943.4765625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,29
2013-05-09,4943.4765625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,30
2013-05-10,4943.4765625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,31
2013-05-13,4943.4765625,6542.83642578125,2013-04-15,3634.9091796875,2013-04-01,false,false,32
