date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2010-03-31,91.44974517822266,91.44974517822266,2010-03-31,91.44974517822266,2010-03-31,true,true,0
2010-04-01,91.37694549560547,91.44974517822266,2010-03-31,91.37694549560547,2010-04-01,false,true,1
2010-04-05,91.08570098876953,91.44974517822266,2010-03-31,91.08570098876953,2010-04-05,false,true,2
2010-04-06,89.33829498291016,91.44974517822266,2010-03-31,89.33829498291016,2010-04-06,false,true,3
2010-04-07,90.5760498046875,91.44974517822266,2010-03-31,89.33829498291016,2010-04-06,false,false,4
2010-04-08,89.4838638305664,91.44974517822266,2010-03-31,89.33829498291016,2010-04-06,false,false,5
2010-04-09,89.92076110839844,91.44974517822266,2010-03-31,89.33829498291016,2010-04-06,false,false,6
2010-04-12,90.79447174072266,91.44974517822266,2010-03-31,89.33829498291016,2010-04-06,false,false,7
2010-04-13,91.7409896850586,91.7409896850586,2010-04-13,89.33829498291016,2010-04-06,true,false,8
2010-04-14,92.39630126953125,92.39630126953125,2010-04-14,89.33829498291016,2010-04-06,true,false,9
2010-04-15,93.48844146728516,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,true,false,10
2010-04-16,93.34281158447266,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,11
2010-04-19,91.23133087158203,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,12
2010-04-20,92.68754577636719,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,13
2010-04-21,92.90596771240234,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,14
2010-04-22,92.76033782958984,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,15
2010-04-23,91.37694549560547,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,16
2010-04-26,91.59539031982422,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,17
2010-04-27,91.08570098876953,93.48844146728516,2010-04-15,89.33829498291016,2010-04-06,false,false,18
2010-04-28,93.92529296875,93.92529296875,2010-04-28,89.33829498291016,2010-04-06,true,false,19
2010-04-29,94.65341186523438,94.65341186523438,2010-04-29,89.33829498291016,2010-04-06,true,false,20
2010-04-30,91.01290893554688,94.65341186523438,2010-04-29,89.33829498291016,2010-04-06,false,false,21
2010-05-03,88.8285903930664,94.65341186523438,2010-04-29,88.8285903930664,2010-05-03,false,true,22
2010-05-04,83.95030975341797,94.65341186523438,2010-04-29,83.95030975341797,2010-05-04,false,true,23
