date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2012-04-18,46800,46800,2012-04-18,46800,2012-04-18,true,true,0
2012-04-19,46800,46800,2012-04-19,46800,2012-04-19,true,true,1
2012-04-20,46800,46800,2012-04-20,46800,2012-04-20,true,true,2
2012-04-23,46800,46800,2012-04-23,46800,2012-04-23,true,true,3
2012-04-24,61200,61200,2012-04-24,46800,2012-04-23,true,false,4
2012-04-25,61200,61200,2012-04-25,46800,2012-04-23,true,false,5
2012-04-26,61200,61200,2012-04-26,46800,2012-04-23,true,false,6
2012-04-27,61200,61200,2012-04-27,46800,2012-04-23,true,false,7
2012-04-30,58320,61200,2012-04-27,46800,2012-04-23,false,false,8
2012-05-01,58320,61200,2012-04-27,46800,2012-04-23,false,false,9
2012-05-02,58320,61200,2012-04-27,46800,2012-04-23,false,false,10
2012-05-03,58320,61200,2012-04-27,46800,2012-04-23,false,false,11
2012-05-04,58320,61200,2012-04-27,46800,2012-04-23,false,false,12
2012-05-07,58320,61200,2012-04-27,46800,2012-04-23,false,false,13
2012-05-08,58320,61200,2012-04-27,46800,2012-04-23,false,false,14
2012-05-09,58320,61200,2012-04-27,46800,2012-04-23,false,false,15
2012-05-10,57600,61200,2012-04-27,46800,2012-04-23,false,false,16
2012-05-11,57600,61200,2012-04-27,46800,2012-04-23,false,false,17
2012-05-14,57600,61200,2012-04-27,46800,2012-04-23,false,false,18
2012-05-15,57600,61200,2012-04-27,46800,2012-04-23,false,false,19
2012-05-16,57600,61200,2012-04-27,46800,2012-04-23,false,false,20
2012-05-17,48240,61200,2012-04-27,46800,2012-04-23,false,false,21
2012-05-18,46800,61200,2012-04-27,46800,2012-05-18,false,true,22
2012-05-21,46800,61200,2012-04-27,46800,2012-05-21,false,true,23
2012-05-22,46800,61200,2012-04-27,46800,2012-05-22,false,true,24
2012-05-23,36000,61200,2012-04-27,36000,2012-05-23,false,true,25
2012-05-24,36000,61200,2012-04-27,36000,2012-05-24,false,true,26
2012-05-25,36000,61200,2012-04-27,36000,2012-05-25,false,true,27
2012-05-29,36000,61200,2012-04-27,36000,2012-05-29,false,true,28
2012-05-30,36000,61200,2012-04-27,36000,2012-05-30,false,true,29
2012-05-31,36000,61200,2012-04-27,36000,2012-05-31,false,true,30
2012-06-01,36000,61200,2012-04-27,36000,2012-06-01,false,true,31
2012-06-04,36000,61200,2012-04-27,36000,2012-06-04,false,true,32
2012-06-05,36000,61200,2012-04-27,36000,2012-06-05,false,true,33
2012-06-06,36000,61200,2012-04-27,36000,2012-06-06,false,true,34
2012-06-07,61200,61200,2012-06-07,36000,2012-06-06,true,false,35
2012-06-08,39600,61200,2012-06-07,36000,2012-06-06,false,false,36
2012-06-11,39600,61200,2012-06-07,36000,2012-06-06,false,false,37
2012-06-12,39600,61200,2012-06-07,36000,2012-06-06,false,false,38
2012-06-13,39600,61200,2012-06-07,36000,2012-06-06,false,false,39
2012-06-14,39600,61200,2012-06-07,36000,2012-06-06,false,false,40
2012-06-15,39600,61200,2012-06-07,36000,2012-06-06,false,false,41
2012-06-18,36000,61200,2012-06-07,36000,2012-06-18,false,true,42
2012-06-19,36000,61200,2012-06-07,36000,2012-06-19,false,true,43
2012-06-20,36000,61200,2012-06-07,36000,2012-06-20,false,true,44
2012-06-21,39600,61200,2012-06-07,36000,2012-06-20,false,false,45
2012-06-22,39600,61200,2012-06-07,36000,2012-06-20,false,false,46
2012-06-25,39600,61200,2012-06-07,36000,2012-06-20,false,false,47
2012-06-26,39600,61200,2012-06-07,36000,2012-06-20,false,false,48
2012-06-27,39600,61200,2012-06-07,36000,2012-06-20,false,false,49
2012-06-28,39600,61200,2012-06-07,36000,2012-06-20,false,false,50
2012-06-29,39600,61200,2012-06-07,36000,2012-06-20,false,false,51
2012-07-02,39600,61200,2012-06-07,36000,2012-06-20,false,false,52
2012-07-03,39600,61200,2012-06-07,36000,2012-06-20,false,false,53
2012-07-05,39600,61200,2012-06-07,36000,2012-06-20,false,false,54
2012-07-06,39600,61200,2012-06-07,36000,2012-06-20,false,false,55
2012-07-09,34560,61200,2012-06-07,34560,2012-07-09,false,true,56
2012-07-10,34560,61200,2012-06-07,34560,2012-07-10,false,true,57
2012-07-11,34560,61200,2012-06-07,34560,2012-07-11,false,true,58
2012-07-12,34560,61200,2012-06-07,34560,2012-07-12,false,true,59
2012-07-13,34560,61200,2012-06-07,34560,2012-07-13,false,true,60
2012-07-16,34560,61200,2012-06-07,34560,2012-07-16,false,true,61
2012-07-17,34560,61200,2012-06-07,34560,2012-07-17,false,true,62
2012-07-18,34560,61200,2012-06-07,34560,2012-07-18,false,true,63
2012-07-19,34560,61200,2012-06-07,34560,2012-07-19,false,true,64
2012-07-20,34560,61200,2012-06-07,34560,2012-07-20,false,true,65
2012-07-23,34560,61200,2012-06-07,34560,2012-07-23,false,true,66
2012-07-24,34560,61200,2012-06-07,34560,2012-07-24,false,true,67
2012-07-25,34560,61200,2012-06-07,34560,2012-07-25,false,true,68
2012-07-26,34560,61200,2012-06-07,34560,2012-07-26,false,true,69
2012-07-27,34560,61200,2012-06-07,34560,2012-07-27,false,true,70
2012-07-30,43200,61200,2012-06-07,34560,2012-07-27,false,false,71
2012-07-31,43200,61200,2012-06-07,34560,2012-07-27,false,false,72
2012-08-01,29520,61200,2012-06-07,29520,2012-08-01,false,true,73
2012-08-02,36000,61200,2012-06-07,29520,2012-08-01,false,false,74
2012-08-03,36000,61200,2012-06-07,29520,2012-08-01,false,false,75
2012-08-06,36000,61200,2012-06-07,29520,2012-08-01,false,false,76
2012-08-07,36000,61200,2012-06-07,29520,2012-08-01,false,false,77
2012-08-08,36000,61200,2012-06-07,29520,2012-08-01,false,false,78
2012-08-09,36000,61200,2012-06-07,29520,2012-08-01,false,false,79
2012-08-10,38160,61200,2012-06-07,29520,2012-08-01,false,false,80
2012-08-13,38160,61200,2012-06-07,29520,2012-08-01,false,false,81
2012-08-14,38160,61200,2012-06-07,29520,2012-08-01,false,false,82
2012-08-15,38160,61200,2012-06-07,29520,2012-08-01,false,false,83
2012-08-16,38160,61200,2012-06-07,29520,2012-08-01,false,false,84
2012-08-17,38160,61200,2012-06-07,29520,2012-08-01,false,false,85
2012-08-20,38160,61200,2012-06-07,29520,2012-08-01,false,false,86
2012-08-21,36000,61200,2012-06-07,29520,2012-08-01,false,false,87
2012-08-22,36000,61200,2012-06-07,29520,2012-08-01,false,false,88
2012-08-23,36000,61200,2012-06-07,29520,2012-08-01,false,false,89
2012-08-24,36000,61200,2012-06-07,29520,2012-08-01,false,false,90
2012-08-27,36000,61200,2012-06-07,29520,2012-08-01,false,false,91
2012-08-28,36000,61200,2012-06-07,29520,2012-08-01,false,false,92
2012-08-29,36000,61200,2012-06-07,29520,2012-08-01,false,false,93
2012-08-30,36000,61200,2012-06-07,29520,2012-08-01,false,false,94
2012-08-31,36000,61200,2012-06-07,29520,2012-08-01,false,false,95
2012-09-04,36000,61200,2012-06-07,29520,2012-08-01,false,false,96
2012-09-05,36000,61200,2012-06-07,29520,2012-08-01,false,false,97
2012-09-06,36000,61200,2012-06-07,29520,2012-08-01,false,false,98
2012-09-07,36000,61200,2012-06-07,29520,2012-08-01,false,false,99
2012-09-10,17280,61200,2012-06-07,17280,2012-09-10,false,true,100
2012-09-11,17280,61200,2012-06-07,17280,2012-09-11,false,true,101
2012-09-12,17280,61200,2012-06-07,17280,2012-09-12,false,true,102
2012-09-13,17280,61200,2012-06-07,17280,2012-09-13,false,true,103
2012-09-14,36000,61200,2012-06-07,17280,2012-09-13,false,false,104
2012-09-17,36000,61200,2012-06-07,17280,2012-09-13,false,false,105
2012-09-18,36000,61200,2012-06-07,17280,2012-09-13,false,false,106
2012-09-19,36000,61200,2012-06-07,17280,2012-09-13,false,false,107
2012-09-20,36000,61200,2012-06-07,17280,2012-09-13,false,false,108
2012-09-21,36000,61200,2012-06-07,17280,2012-09-13,false,false,109
2012-09-24,36000,61200,2012-06-07,17280,2012-09-13,false,false,110
2012-09-25,36000,61200,2012-06-07,17280,2012-09-13,false,false,111
2012-09-26,36000,61200,2012-06-07,17280,2012-09-13,false,false,112
2012-09-27,36000,61200,2012-06-07,17280,2012-09-13,false,false,113
2012-09-28,36000,61200,2012-06-07,17280,2012-09-13,false,false,114
2012-10-01,36000,61200,2012-06-07,17280,2012-09-13,false,false,115
2012-10-02,36000,61200,2012-06-07,17280,2012-09-13,false,false,116
2012-10-03,36000,61200,2012-06-07,17280,2012-09-13,false,false,117
2012-10-04,36000,61200,2012-06-07,17280,2012-09-13,false,false,118
2012-10-05,36000,61200,2012-06-07,17280,2012-09-13,false,false,119
2012-10-08,23040,61200,2012-06-07,17280,2012-09-13,false,false,120
2012-10-09,39600,61200,2012-06-07,17280,2012-09-13,false,false,121
2012-10-10,39600,61200,2012-06-07,17280,2012-09-13,false,false,122
2012-10-11,39600,61200,2012-06-07,17280,2012-09-13,false,false,123
2012-10-12,39600,61200,2012-06-07,17280,2012-09-13,false,false,124
2012-10-15,54000,61200,2012-06-07,17280,2012-09-13,false,false,125
2012-10-16,39600,61200,2012-06-07,17280,2012-09-13,false,false,126
2012-10-17,39600,61200,2012-06-07,17280,2012-09-13,false,false,127
2012-10-18,39600,61200,2012-06-07,17280,2012-09-13,false,false,128
2012-10-19,39600,61200,2012-06-07,17280,2012-09-13,false,false,129
2012-10-22,39600,61200,2012-06-07,17280,2012-09-13,false,false,130
